Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Female,Estonia,2020,702.0,679.0,620.0,626.0,582.0,583.0,626.8000000000002,35.5,1.96,31.1,595.7000000000002,657.9000000000002,75.2,31.1,12.0,5.3,626.8 (±31.1),75.2 (±31.1),12.0% (±5.3%),44080,170.6,70.6,170.6(±70.6)
Female,Estonia,2020,702.0,679.0,620.0,626.0,582.0,583.0,626.8000000000002,35.5,1.96,31.1,595.7000000000002,657.9000000000002,75.2,31.1,12.0,5.3,626.8 (±31.1),75.2 (±31.1),12.0% (±5.3%),45307,166.0,68.6,166.0(±68.6)
Female,Estonia,2020,702.0,679.0,620.0,626.0,582.0,583.0,626.8000000000002,35.5,1.96,31.1,595.7000000000002,657.9000000000002,75.2,31.1,12.0,5.3,626.8 (±31.1),75.2 (±31.1),12.0% (±5.3%),42693,176.1,72.9,176.1(±72.9)
Female,Estonia,2020,702.0,679.0,620.0,626.0,582.0,583.0,626.8000000000002,35.5,1.96,31.1,595.7000000000002,657.9000000000002,75.2,31.1,12.0,5.3,626.8 (±31.1),75.2 (±31.1),12.0% (±5.3%),46041,163.3,67.6,163.3(±67.6)
Female,Estonia,2020,702.0,679.0,620.0,626.0,582.0,583.0,626.8000000000002,35.5,1.96,31.1,595.7000000000002,657.9000000000002,75.2,31.1,12.0,5.3,626.8 (±31.1),75.2 (±31.1),12.0% (±5.3%),47345,158.8,65.7,158.8(±65.7)
Female,Finland,2020,1722.0,1938.0,1843.0,1879.0,1840.0,1714.0,1890.0000000000002,73.4,1.96,64.3,1825.7000000000003,1954.3000000000002,-168.0,64.3,-8.9,3.0,1890.0 (±64.3),-168.0 (±64.3),-8.9% (±3.0%),168547,-99.7,38.2,-99.7(±38.2)
Female,Finland,2020,1722.0,1938.0,1843.0,1879.0,1840.0,1714.0,1890.0000000000002,73.4,1.96,64.3,1825.7000000000003,1954.3000000000002,-168.0,64.3,-8.9,3.0,1890.0 (±64.3),-168.0 (±64.3),-8.9% (±3.0%),154391,-108.8,41.6,-108.8(±41.6)
Female,Finland,2020,1722.0,1938.0,1843.0,1879.0,1840.0,1714.0,1890.0000000000002,73.4,1.96,64.3,1825.7000000000003,1954.3000000000002,-168.0,64.3,-8.9,3.0,1890.0 (±64.3),-168.0 (±64.3),-8.9% (±3.0%),176612,-95.1,36.4,-95.1(±36.4)
Female,Finland,2020,1722.0,1938.0,1843.0,1879.0,1840.0,1714.0,1890.0000000000002,73.4,1.96,64.3,1825.7000000000003,1954.3000000000002,-168.0,64.3,-8.9,3.0,1890.0 (±64.3),-168.0 (±64.3),-8.9% (±3.0%),185152,-90.7,34.7,-90.7(±34.7)
Female,Finland,2020,1722.0,1938.0,1843.0,1879.0,1840.0,1714.0,1890.0000000000002,73.4,1.96,64.3,1825.7000000000003,1954.3000000000002,-168.0,64.3,-8.9,3.0,1890.0 (±64.3),-168.0 (±64.3),-8.9% (±3.0%),183336,-91.6,35.0,-91.6(±35.0)
Female,France,2020,23957.0,23920.0,23519.0,23589.0,23401.0,22747.0,23899.2,384.8,1.96,337.3,23561.9,24236.5,57.8,337.3,0.2,1.4,23899.2 (±337.3),57.8 (±337.3),0.2% (±1.4%),2074292,2.8,16.2,2.8(±16.2)
Female,France,2020,23957.0,23920.0,23519.0,23589.0,23401.0,22747.0,23899.2,384.8,1.96,337.3,23561.9,24236.5,57.8,337.3,0.2,1.4,23899.2 (±337.3),57.8 (±337.3),0.2% (±1.4%),2286345,2.5,14.8,2.5(±14.8)
