Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Female,Pernik,2020,68,62.0,77.0,73.0,68.0,62.0,69.19999999999999,6.0,1.96,5.3,63.89999999999999,74.49999999999999,-1.2,5.3,-1.7,7.0,69.2 (±5.3),-1.2 (±5.3),-1.7% (±7.0%)
Female,Pleven,2020,149,137.0,115.0,150.0,133.0,107.0,131.6,15.5,1.96,13.6,118.0,145.2,17.4,13.6,13.2,10.6,131.6 (±13.6),17.4 (±13.6),13.2% (±10.6%)
Female,Plovdiv,2020,331,264.0,270.0,281.0,254.0,244.0,266.59999999999997,12.8,1.96,11.2,255.39999999999998,277.79999999999995,64.4,11.2,24.2,5.0,266.6 (±11.2),64.4 (±11.2),24.2% (±5.0%)
Female,Razgrad,2020,70,60.0,77.0,58.0,54.0,70.0,63.800000000000004,8.4,1.96,7.4,56.400000000000006,71.2,6.2,7.4,9.7,11.4,63.8 (±7.4),6.2 (±7.4),9.7% (±11.4%)
Female,Ruse,2020,120,101.0,109.0,103.0,112.0,99.0,108.0,4.9,1.96,4.3,103.7,112.3,12.0,4.3,11.1,4.2,108.0 (±4.3),12.0 (±4.3),11.1% (±4.2%)
Female,Severen tsentralen,2020,496,427.0,428.0,416.0,402.0,414.0,424.59999999999997,9.5,1.96,8.3,416.29999999999995,432.9,71.4,8.3,16.8,2.2,424.6 (±8.3),71.4 (±8.3),16.8% (±2.2%)
Female,Severna i yugoiztochna Bulgaria,2020,2130,1810.0,1668.0,1745.0,1758.0,1671.0,1755.2000000000003,54.3,1.96,47.6,1707.6000000000004,1802.8000000000002,374.8,47.6,21.4,3.3,1755.2 (±47.6),374.8 (±47.6),21.4% (±3.3%)
Female,Severoiztochen,2020,561,421.0,428.0,430.0,445.0,405.0,429.00000000000006,13.0,1.96,11.4,417.6000000000001,440.40000000000003,132.0,11.4,30.8,3.4,429.0 (±11.4),132.0 (±11.4),30.8% (±3.4%)
Female,Severozapaden,2020,494,480.0,398.0,428.0,435.0,394.0,437.40000000000003,31.0,1.96,27.2,410.20000000000005,464.6,56.6,27.2,12.9,6.6,437.4 (±27.2),56.6 (±27.2),12.9% (±6.6%)
Female,Shumen,2020,115,108.0,77.0,101.0,76.0,82.0,89.60000000000001,13.2,1.96,11.6,78.00000000000001,101.2,25.4,11.6,28.3,14.7,89.6 (±11.6),25.4 (±11.6),28.3% (±14.7%)
Female,Silistra,2020,78,73.0,50.0,65.0,56.0,54.0,60.400000000000006,8.3,1.96,7.3,53.10000000000001,67.7,17.6,7.3,29.1,13.9,60.4 (±7.3),17.6 (±7.3),29.1% (±13.9%)
Female,Sliven,2020,145,79.0,86.0,77.0,91.0,76.0,82.60000000000001,5.8,1.96,5.1,77.50000000000001,87.7,62.4,5.1,75.5,10.2,82.6 (±5.1),62.4 (±5.1),75.5% (±10.2%)
Female,Smolyan,2020,65,46.0,48.0,51.0,47.0,37.0,45.800000000000004,4.7,1.96,4.1,41.7,49.900000000000006,19.2,4.1,41.9,11.6,45.8 (±4.1),19.2 (±4.1),41.9% (±11.6%)
Female,Sofia,2020,164,130.0,113.0,119.0,110.0,117.0,123.40000000000003,6.9,1.96,6.0,117.40000000000003,129.40000000000003,40.6,6.0,32.9,6.2,123.4 (±6.0),40.6 (±6.0),32.9% (±6.2%)
Female,Sofia (stolitsa),2020,594,509.0,551.0,518.0,509.0,544.0,532.5999999999999,17.8,1.96,15.6,516.9999999999999,548.1999999999999,61.4,15.6,11.5,3.1,532.6 (±15.6),61.4 (±15.6),11.5% (±3.1%)
Female,Stara Zagora,2020,178,148.0,130.0,167.0,168.0,142.0,151.79999999999995,14.7,1.96,12.9,138.89999999999995,164.69999999999996,26.2,12.9,17.3,9.2,151.8 (±12.9),26.2 (±12.9),17.3% (±9.2%)
Female,Targovishte,2020,82,46.0,63.0,63.0,62.0,61.0,58.99999999999999,6.5,1.96,5.7,53.29999999999999,64.69999999999999,23.0,5.7,39.0,12.3,59.0 (±5.7),23.0 (±5.7),39.0% (±12.3%)
Female,Varna,2020,241,164.0,172.0,175.0,201.0,177.0,180.19999999999996,12.4,1.96,10.9,169.29999999999995,191.09999999999997,60.8,10.9,33.7,7.6,180.2 (±10.9),60.8 (±10.9),33.7% (±7.6%)
Female,Veliko Tarnovo,2020,158,116.0,125.0,119.0,126.0,126.0,125.60000000000005,4.1,1.96,3.6,122.00000000000006,129.20000000000005,32.4,3.6,25.8,3.5,125.6 (±3.6),32.4 (±3.6),25.8% (±3.5%)
Female,Vidin,2020,73,73.0,72.0,48.0,53.0,57.0,61.4,10.1,1.96,8.9,52.5,70.3,11.6,8.9,18.9,15.1,61.4 (±8.9),11.6 (±8.9),18.9% (±15.1%)
Female,Vratsa,2020,109,113.0,81.0,97.0,84.0,79.0,94.00000000000003,12.7,1.96,11.1,82.90000000000003,105.10000000000002,15.0,11.1,16.0,12.3,94.0 (±11.1),15.0 (±11.1),16.0% (±12.3%)
Female,Yambol,2020,62,68.0,44.0,56.0,54.0,69.0,59.79999999999999,9.3,1.96,8.2,51.599999999999994,67.99999999999999,2.2,8.2,3.7,12.5,59.8 (±8.2),2.2 (±8.2),3.7% (±12.5%)
Female,Yugoiztochen,2020,579,482.0,414.0,471.0,476.0,458.0,464.19999999999993,24.4,1.96,21.4,442.79999999999995,485.5999999999999,114.8,21.4,24.7,5.5,464.2 (±21.4),114.8 (±21.4),24.7% (±5.5%)
Female,Yugozapaden,2020,1065,873.0,908.0,870.0,871.0,880.0,896.4,14.2,1.96,12.4,884.0,908.8,168.6,12.4,18.8,1.6,896.4 (±12.4),168.6 (±12.4),18.8% (±1.6%)
Female,Yugozapadna i yuzhna tsentralna Bulgaria,2020,1845,1482.0,1486.0,1473.0,1428.0,1430.0,1485.4,25.5,1.96,22.4,1463.0,1507.8000000000002,359.6,22.4,24.2,1.8,1485.4 (±22.4),359.6 (±22.4),24.2% (±1.8%)
Female,Yuzhen tsentralen,2020,780,609.0,578.0,603.0,557.0,550.0,589.0000000000001,23.7,1.96,20.8,568.2000000000002,609.8000000000001,191.0,20.8,32.4,4.5,589.0 (±20.8),191.0 (±20.8),32.4% (±4.5%)
Male,Blagoevgrad,2020,287,198.0,207.0,218.0,253.0,198.0,221.99999999999994,20.5,1.96,18.0,203.99999999999994,239.99999999999994,65.0,18.0,29.3,9.7,222.0 (±18.0),65.0 (±18.0),29.3% (±9.7%)
Male,Bulgaria,2020,7029,6059.0,5979.0,5849.0,5835.0,5645.0,5983.000000000001,141.3,1.96,123.9,5859.100000000001,6106.900000000001,1046.0,123.9,17.5,2.4,5983.0 (±123.9),1046.0 (±123.9),17.5% (±2.4%)
Male,Burgas,2020,355,308.0,332.0,334.0,324.0,299.0,324.19999999999993,13.7,1.96,12.0,312.19999999999993,336.19999999999993,30.8,12.0,9.5,3.9,324.2 (±12.0),30.8 (±12.0),9.5% (±3.9%)
Male,Dobrich,2020,186,196.0,192.0,189.0,185.0,190.0,195.99999999999994,3.6,1.96,3.2,192.79999999999995,199.19999999999993,-10.0,3.2,-5.1,1.5,196.0 (±3.2),-10.0 (±3.2),-5.1% (±1.5%)
Male,Gabrovo,2020,122,116.0,120.0,120.0,116.0,100.0,116.00000000000003,7.4,1.96,6.5,109.50000000000003,122.50000000000003,6.0,6.5,5.2,5.6,116.0 (±6.5),6.0 (±6.5),5.2% (±5.6%)
Male,Haskovo,2020,249,218.0,216.0,239.0,196.0,212.0,222.6,13.8,1.96,12.1,210.5,234.7,26.4,12.1,11.9,5.8,222.6 (±12.1),26.4 (±12.1),11.9% (±5.8%)
