Sex,Location,Year,Week,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Female,Burgas,2020,51,9,4.0,3.0,3.0,7.0,4.0,4.2,1.5,1.96,1.3,2.9000000000000004,5.5,4.8,1.3,114.3,50.7,4.2 (±1.3),4.8 (±1.3),114.3% (±50.7%)
Female,Burgas,2020,52,3,4.0,4.0,3.0,6.0,7.0,4.8,1.5,1.96,1.3,3.5,6.1,-1.8,1.3,-37.5,13.3,4.8 (±1.3),-1.8 (±1.3),-37.5% (±13.3%)
Female,Burgas,2020,53,6,1.0,4.0,3.0,6.0,7.0,1.0,2.1,1.96,1.8,-0.8,2.8,5.0,1.8,500.0,385.7,1.0 (±1.8),5.0 (±1.8),500.0% (±385.7%)
Female,Dobrich,2020,10,1,3.0,4.0,3.0,3.0,3.0,3.2,0.4,1.96,0.4,2.8000000000000003,3.6,-2.2,0.4,-68.8,3.4,3.2 (±0.4),-2.2 (±0.4),-68.8% (±3.4%)
Female,Dobrich,2020,11,2,0.0,2.0,4.0,2.0,1.0,1.8,1.3,1.96,1.1,0.7,2.9000000000000004,0.2,1.1,11.1,42.1,1.8 (±1.1),0.2 (±1.1),11.1% (±42.1%)
Female,Dobrich,2020,12,4,2.0,4.0,1.0,2.0,2.0,2.2,1.0,1.96,0.9,1.3000000000000003,3.1,1.8,0.9,81.8,52.8,2.2 (±0.9),1.8 (±0.9),81.8% (±52.8%)
Female,Dobrich,2020,13,1,6.0,2.0,0.0,1.0,2.0,2.2,2.0,1.96,1.8,0.40000000000000013,4.0,-1.2,1.8,-54.5,20.5,2.2 (±1.8),-1.2 (±1.8),-54.5% (±20.5%)
Female,Dobrich,2020,14,1,5.0,5.0,3.0,1.0,4.0,3.6,1.5,1.96,1.3,2.3,4.9,-2.6,1.3,-72.2,7.4,3.6 (±1.3),-2.6 (±1.3),-72.2% (±7.4%)
Female,Dobrich,2020,15,1,4.0,8.0,0.0,4.0,3.0,3.8,2.6,1.96,2.3,1.5,6.1,-2.8,2.3,-73.7,9.9,3.8 (±2.3),-2.8 (±2.3),-73.7% (±9.9%)
Female,Dobrich,2020,16,1,2.0,3.0,3.0,1.0,2.0,2.2,0.7,1.96,0.6,1.6,2.8000000000000003,-1.2,0.6,-54.5,9.8,2.2 (±0.6),-1.2 (±0.6),-54.5% (±9.8%)
Female,Dobrich,2020,17,1,3.0,4.0,1.0,4.0,3.0,3.0,1.1,1.96,1.0,2.0,4.0,-2.0,1.0,-66.7,8.3,3.0 (±1.0),-2.0 (±1.0),-66.7% (±8.3%)
Female,Dobrich,2020,18,0,2.0,2.0,1.0,5.0,0.0,2.0,1.7,1.96,1.5,0.5,3.5,-2.0,1.5,-100.0,0.0,2.0 (±1.5),-2.0 (±1.5),-100.0% (±0.0%)
Female,Dobrich,2020,19,4,0.0,2.0,3.0,4.0,2.0,2.2,1.3,1.96,1.1,1.1,3.3000000000000003,1.8,1.1,81.8,60.6,2.2 (±1.1),1.8 (±1.1),81.8% (±60.6%)
Female,Dobrich,2020,20,1,3.0,0.0,1.0,1.0,2.0,1.4,1.0,1.96,0.9,0.4999999999999999,2.3,-0.4,0.9,-28.6,27.9,1.4 (±0.9),-0.4 (±0.9),-28.6% (±27.9%)
Female,Dobrich,2020,21,2,0.0,3.0,4.0,2.0,0.0,1.8,1.6,1.96,1.4,0.40000000000000013,3.2,0.2,1.4,11.1,48.6,1.8 (±1.4),0.2 (±1.4),11.1% (±48.6%)
