Age,Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
(45-49),Female,Montana,2020,23,113.0,119.0,124.0,117.0,108.0,116.19999999999999,5.4,1.96,4.7,111.49999999999999,120.89999999999999,-93.2,4.7,-80.2,0.8,116.2 (±4.7),-93.2 (±4.7),-80.2% (±0.8%)
(50-54),Female,Montana,2020,21,113.0,119.0,124.0,117.0,108.0,116.19999999999999,5.4,1.96,4.7,111.49999999999999,120.89999999999999,-95.2,4.7,-81.9,0.7,116.2 (±4.7),-95.2 (±4.7),-81.9% (±0.7%)
(55-59),Female,Montana,2020,25,113.0,119.0,124.0,117.0,108.0,116.19999999999999,5.4,1.96,4.7,111.49999999999999,120.89999999999999,-91.2,4.7,-78.5,0.8,116.2 (±4.7),-91.2 (±4.7),-78.5% (±0.8%)
(60-64),Female,Montana,2020,64,113.0,119.0,124.0,117.0,108.0,116.19999999999999,5.4,1.96,4.7,111.49999999999999,120.89999999999999,-52.2,4.7,-44.9,2.2,116.2 (±4.7),-52.2 (±4.7),-44.9% (±2.2%)
(40-44),Female,Pazardzhik,2020,15,192.0,183.0,201.0,198.0,196.0,196.4,6.2,1.96,5.4,191.0,201.8,-181.4,5.4,-92.4,0.2,196.4 (±5.4),-181.4 (±5.4),-92.4% (±0.2%)
(45-49),Female,Pazardzhik,2020,26,192.0,183.0,201.0,198.0,196.0,196.4,6.2,1.96,5.4,191.0,201.8,-170.4,5.4,-86.8,0.3,196.4 (±5.4),-170.4 (±5.4),-86.8% (±0.3%)
(50-54),Female,Pazardzhik,2020,49,192.0,183.0,201.0,198.0,196.0,196.4,6.2,1.96,5.4,191.0,201.8,-147.4,5.4,-75.1,0.6,196.4 (±5.4),-147.4 (±5.4),-75.1% (±0.6%)
(55-59),Female,Pazardzhik,2020,72,192.0,183.0,201.0,198.0,196.0,196.4,6.2,1.96,5.4,191.0,201.8,-124.4,5.4,-63.3,1.0,196.4 (±5.4),-124.4 (±5.4),-63.3% (±1.0%)
(60-64),Female,Pazardzhik,2020,111,192.0,183.0,201.0,198.0,196.0,196.4,6.2,1.96,5.4,191.0,201.8,-85.4,5.4,-43.5,1.5,196.4 (±5.4),-85.4 (±5.4),-43.5% (±1.5%)
(40-44),Female,Pernik,2020,5,121.0,94.0,103.0,99.0,112.0,109.80000000000001,9.6,1.96,8.4,101.4,118.20000000000002,-104.8,8.4,-95.4,0.4,109.8 (±8.4),-104.8 (±8.4),-95.4% (±0.4%)
(45-49),Female,Pernik,2020,13,121.0,94.0,103.0,99.0,112.0,109.80000000000001,9.6,1.96,8.4,101.4,118.20000000000002,-96.8,8.4,-88.2,0.8,109.8 (±8.4),-96.8 (±8.4),-88.2% (±0.8%)
(50-54),Female,Pernik,2020,23,121.0,94.0,103.0,99.0,112.0,109.80000000000001,9.6,1.96,8.4,101.4,118.20000000000002,-86.8,8.4,-79.1,1.4,109.8 (±8.4),-86.8 (±8.4),-79.1% (±1.4%)
(55-59),Female,Pernik,2020,35,121.0,94.0,103.0,99.0,112.0,109.80000000000001,9.6,1.96,8.4,101.4,118.20000000000002,-74.8,8.4,-68.1,2.3,109.8 (±8.4),-74.8 (±8.4),-68.1% (±2.3%)
(60-64),Female,Pernik,2020,65,121.0,94.0,103.0,99.0,112.0,109.80000000000001,9.6,1.96,8.4,101.4,118.20000000000002,-44.8,8.4,-40.8,4.2,109.8 (±8.4),-44.8 (±8.4),-40.8% (±4.2%)
(40-44),Female,Pleven,2020,15,189.0,205.0,181.0,191.0,164.0,189.2,13.4,1.96,11.7,177.5,200.89999999999998,-174.2,11.7,-92.1,0.4,189.2 (±11.7),-174.2 (±11.7),-92.1% (±0.4%)
(45-49),Female,Pleven,2020,24,189.0,205.0,181.0,191.0,164.0,189.2,13.4,1.96,11.7,177.5,200.89999999999998,-165.2,11.7,-87.3,0.8,189.2 (±11.7),-165.2 (±11.7),-87.3% (±0.8%)
(50-54),Female,Pleven,2020,31,189.0,205.0,181.0,191.0,164.0,189.2,13.4,1.96,11.7,177.5,200.89999999999998,-158.2,11.7,-83.6,1.0,189.2 (±11.7),-158.2 (±11.7),-83.6% (±1.0%)
(55-59),Female,Pleven,2020,59,189.0,205.0,181.0,191.0,164.0,189.2,13.4,1.96,11.7,177.5,200.89999999999998,-130.2,11.7,-68.8,1.8,189.2 (±11.7),-130.2 (±11.7),-68.8% (±1.8%)
(60-64),Female,Pleven,2020,87,189.0,205.0,181.0,191.0,164.0,189.2,13.4,1.96,11.7,177.5,200.89999999999998,-102.2,11.7,-54.0,2.7,189.2 (±11.7),-102.2 (±11.7),-54.0% (±2.7%)
(40-44),Female,Plovdiv,2020,35,441.0,484.0,428.0,419.0,388.0,438.4000000000001,31.3,1.96,27.4,411.0000000000001,465.80000000000007,-403.4,27.4,-92.0,0.5,438.4 (±27.4),-403.4 (±27.4),-92.0% (±0.5%)
