index,Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
1447,Total,Total,Montana,118,2020,49,48.0,56.0,56.0,61.0,45.0,53.2,5.8,1.96,5.1,48.1,58.300000000000004,64.8,5.1,121.8,19.4,53.2 (±5.1),64.8 (±5.1),121.8% (±19.4%)
1448,Total,Total,Vratsa,123,2020,49,79.0,70.0,61.0,69.0,73.0,70.4,5.9,1.96,5.2,65.2,75.60000000000001,52.6,5.2,74.7,12.0,70.4 (±5.2),52.6 (±5.2),74.7% (±12.0%)
1449,Total,Total,Pleven,200,2020,49,90.0,109.0,82.0,79.0,94.0,90.8,10.6,1.96,9.3,81.5,100.1,109.2,9.3,120.3,20.5,90.8 (±9.3),109.2 (±9.3),120.3% (±20.5%)
1450,Total,Total,Lovech,83,2020,49,54.0,57.0,43.0,61.0,58.0,54.6,6.2,1.96,5.4,49.2,60.0,28.4,5.4,52.0,13.7,54.6 (±5.4),28.4 (±5.4),52.0% (±13.7%)
1451,Total,Total,Severen tsentralen,652,2020,49,261.0,275.0,249.0,300.0,258.0,268.6,17.8,1.96,15.6,253.00000000000003,284.20000000000005,383.4,15.6,142.7,13.3,268.6 (±15.6),383.4 (±15.6),142.7% (±13.3%)
1452,Total,Total,Veliko Tarnovo,193,2020,49,86.0,82.0,80.0,91.0,83.0,84.4,3.8,1.96,3.3,81.10000000000001,87.7,108.6,3.3,128.7,8.6,84.4 (±3.3),108.6 (±3.3),128.7% (±8.6%)
1453,Total,Total,Gabrovo,80,2020,49,36.0,52.0,40.0,35.0,40.0,40.6,6.1,1.96,5.3,35.300000000000004,45.9,39.4,5.3,97.0,22.7,40.6 (±5.3),39.4 (±5.3),97.0% (±22.7%)
1454,Total,Total,Ruse,188,2020,49,63.0,73.0,67.0,82.0,61.0,69.2,7.6,1.96,6.7,62.5,75.9,118.8,6.7,171.7,24.0,69.2 (±6.7),118.8 (±6.7),171.7% (±24.0%)
1455,Total,Total,Razgrad,89,2020,49,29.0,38.0,29.0,47.0,41.0,36.8,7.0,1.96,6.1,30.699999999999996,42.9,52.2,6.1,141.8,34.3,36.8 (±6.1),52.2 (±6.1),141.8% (±34.3%)
1456,Total,Total,Silistra,102,2020,49,47.0,30.0,33.0,45.0,33.0,37.6,7.0,1.96,6.1,31.5,43.7,64.4,6.1,171.3,37.9,37.6 (±6.1),64.4 (±6.1),171.3% (±37.9%)
1457,Total,Total,Severoiztochen,564,2020,49,241.0,304.0,308.0,270.0,248.0,274.2,27.7,1.96,24.3,249.89999999999998,298.5,289.8,24.3,105.7,16.8,274.2 (±24.3),289.8 (±24.3),105.7% (±16.8%)
1458,Total,Total,Varna,258,2020,49,106.0,144.0,151.0,123.0,106.0,126.0,18.8,1.96,16.5,109.5,142.5,132.0,16.5,104.8,23.7,126.0 (±16.5),132.0 (±16.5),104.8% (±23.7%)
1459,Total,Total,Dobrich,118,2020,49,55.0,59.0,67.0,44.0,59.0,56.8,7.5,1.96,6.6,50.199999999999996,63.4,61.2,6.6,107.7,21.6,56.8 (±6.6),61.2 (±6.6),107.7% (±21.6%)
1460,Total,Total,Shumen,107,2020,49,44.0,70.0,56.0,65.0,48.0,56.6,9.8,1.96,8.6,48.0,65.2,50.4,8.6,89.0,24.9,56.6 (±8.6),50.4 (±8.6),89.0% (±24.9%)
1461,Total,Total,Targovishte,81,2020,49,36.0,31.0,34.0,38.0,35.0,34.8,2.3,1.96,2.0,32.8,36.8,46.2,2.0,132.8,12.7,34.8 (±2.0),46.2 (±2.0),132.8% (±12.7%)
1462,Total,Total,Yugoiztochen,667,2020,49,279.0,378.0,275.0,364.0,329.0,325.0,42.3,1.96,37.1,287.9,362.1,342.0,37.1,105.2,21.0,325.0 (±37.1),342.0 (±37.1),105.2% (±21.0%)
1463,Total,Total,Burgas,227,2020,49,108.0,142.0,89.0,136.0,110.0,117.0,19.5,1.96,17.1,99.9,134.1,110.0,17.1,94.0,24.7,117.0 (±17.1),110.0 (±17.1),94.0% (±24.7%)
1464,Total,Total,Sliven,114,2020,49,50.0,65.0,50.0,61.0,58.0,56.8,6.0,1.96,5.3,51.5,62.099999999999994,57.2,5.3,100.7,17.1,56.8 (±5.3),57.2 (±5.3),100.7% (±17.1%)
1465,Total,Total,Yambol,97,2020,49,47.0,46.0,39.0,47.0,45.0,44.8,3.0,1.96,2.6,42.199999999999996,47.4,52.2,2.6,116.5,11.9,44.8 (±2.6),52.2 (±2.6),116.5% (±11.9%)
1466,Total,Total,Stara Zagora,229,2020,49,74.0,125.0,97.0,120.0,116.0,106.4,18.8,1.96,16.5,89.9,122.9,122.6,16.5,115.2,28.9,106.4 (±16.5),122.6 (±16.5),115.2% (±28.9%)
1467,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,2238,2020,49,917.0,1003.0,914.0,1064.0,982.0,976.0,56.3,1.96,49.3,926.7,1025.3,1262.0,49.3,129.3,11.0,976.0 (±49.3),1262.0 (±49.3),129.3% (±11.0%)
1468,Total,Total,Yugozapaden,1235,2020,49,523.0,555.0,526.0,605.0,575.0,556.8,30.8,1.96,27.0,529.8,583.8,678.2,27.0,121.8,10.3,556.8 (±27.0),678.2 (±27.0),121.8% (±10.3%)
1469,Total,Total,Sofia (stolitsa),621,2020,49,290.0,294.0,275.0,320.0,324.0,300.6,18.6,1.96,16.3,284.3,316.90000000000003,320.4,16.3,106.6,10.6,300.6 (±16.3),320.4 (±16.3),106.6% (±10.6%)
1470,Total,Total,Sofia,182,2020,49,74.0,89.0,77.0,103.0,73.0,83.2,11.4,1.96,10.0,73.2,93.2,98.8,10.0,118.8,23.5,83.2 (±10.0),98.8 (±10.0),118.8% (±23.5%)
1471,Total,Total,Blagoevgrad,181,2020,49,68.0,75.0,69.0,75.0,78.0,73.0,3.8,1.96,3.3,69.7,76.3,108.0,3.3,147.9,10.7,73.0 (±3.3),108.0 (±3.3),147.9% (±10.7%)
