index,Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
396,Total,Total,Sofia (stolitsa),289,2020,20,288.0,308.0,291.0,279.0,290.0,291.2,9.4,1.96,8.2,283.0,299.4,-2.2,8.2,-0.8,2.7,291.2 (±8.2),-2.2 (±8.2),-0.8% (±2.7%)
397,Total,Total,Sofia,82,2020,20,75.0,71.0,90.0,75.0,59.0,74.0,9.9,1.96,8.7,65.3,82.7,8.0,8.7,10.8,11.6,74.0 (±8.7),8.0 (±8.7),10.8% (±11.6%)
398,Total,Total,Blagoevgrad,75,2020,20,74.0,77.0,76.0,73.0,64.0,72.8,4.6,1.96,4.0,68.8,76.8,2.2,4.0,3.0,5.3,72.8 (±4.0),2.2 (±4.0),3.0% (±5.3%)
399,Total,Total,Pernik,48,2020,20,46.0,32.0,42.0,44.0,30.0,38.8,6.5,1.96,5.7,33.099999999999994,44.5,9.2,5.7,23.7,15.8,38.8 (±5.7),9.2 (±5.7),23.7% (±15.8%)
400,Total,Total,Kyustendil,51,2020,20,56.0,48.0,64.0,38.0,42.0,49.6,9.4,1.96,8.2,41.400000000000006,57.8,1.4,8.2,2.8,14.6,49.6 (±8.2),1.4 (±8.2),2.8% (±14.6%)
401,Total,Total,Yuzhen tsentralen,396,2020,20,351.0,404.0,358.0,374.0,443.0,386.0,33.8,1.96,29.6,356.4,415.6,10.0,29.6,2.6,7.3,386.0 (±29.6),10.0 (±29.6),2.6% (±7.3%)
402,Total,Total,Plovdiv,200,2020,20,154.0,179.0,165.0,171.0,186.0,171.0,11.1,1.96,9.7,161.3,180.7,29.0,9.7,17.0,6.3,171.0 (±9.7),29.0 (±9.7),17.0% (±6.3%)
403,Total,Total,Haskovo,52,2020,20,59.0,73.0,63.0,60.0,94.0,69.8,13.1,1.96,11.5,58.3,81.3,-17.8,11.5,-25.5,10.5,69.8 (±11.5),-17.8 (±11.5),-25.5% (±10.5%)
404,Total,Total,Pazardzhik,77,2020,20,74.0,75.0,65.0,80.0,79.0,74.6,5.3,1.96,4.6,70.0,79.19999999999999,2.4,4.6,3.2,6.0,74.6 (±4.6),2.4 (±4.6),3.2% (±6.0%)
405,Total,Total,Smolyan,31,2020,20,27.0,39.0,29.0,32.0,38.0,33.0,4.8,1.96,4.2,28.8,37.2,-2.0,4.2,-6.1,10.6,33.0 (±4.2),-2.0 (±4.2),-6.1% (±10.6%)
406,Total,Total,Kardzhali,36,2020,20,37.0,38.0,36.0,31.0,46.0,37.6,4.8,1.96,4.2,33.4,41.800000000000004,-1.6,4.2,-4.3,9.6,37.6 (±4.2),-1.6 (±4.2),-4.3% (±9.6%)
407,Total,Total,Bulgaria,1898,2020,21,1984.0,2010.0,1985.0,1895.0,2001.0,1975.0,41.2,1.96,36.1,1938.9,2011.1,-77.0,36.1,-3.9,1.7,1975.0 (±36.1),-77.0 (±36.1),-3.9% (±1.7%)
408,Total,Total,Severna i yugoiztochna Bulgaria,1021,2020,21,1067.0,1080.0,1150.0,999.0,1076.0,1074.4,47.9,1.96,42.0,1032.4,1116.4,-53.4,42.0,-5.0,3.5,1074.4 (±42.0),-53.4 (±42.0),-5.0% (±3.5%)
409,Total,Total,Severozapaden,237,2020,21,280.0,301.0,291.0,248.0,285.0,281.0,17.9,1.96,15.7,265.3,296.7,-44.0,15.7,-15.7,4.4,281.0 (±15.7),-44.0 (±15.7),-15.7% (±4.4%)
410,Total,Total,Vidin,37,2020,21,38.0,44.0,38.0,27.0,47.0,38.8,6.9,1.96,6.0,32.8,44.8,-1.8,6.0,-4.6,12.8,38.8 (±6.0),-1.8 (±6.0),-4.6% (±12.8%)
411,Total,Total,Montana,40,2020,21,45.0,56.0,59.0,49.0,51.0,52.0,5.0,1.96,4.4,47.6,56.4,-12.0,4.4,-23.1,6.0,52.0 (±4.4),-12.0 (±4.4),-23.1% (±6.0%)
412,Total,Total,Vratsa,49,2020,21,57.0,54.0,56.0,55.0,52.0,54.8,1.7,1.96,1.5,53.3,56.3,-5.8,1.5,-10.6,2.4,54.8 (±1.5),-5.8 (±1.5),-10.6% (±2.4%)
413,Total,Total,Pleven,67,2020,21,90.0,93.0,82.0,79.0,85.0,85.8,5.1,1.96,4.5,81.3,90.3,-18.8,4.5,-21.9,3.9,85.8 (±4.5),-18.8 (±4.5),-21.9% (±3.9%)
414,Total,Total,Lovech,44,2020,21,50.0,54.0,56.0,38.0,50.0,49.6,6.2,1.96,5.4,44.2,55.0,-5.6,5.4,-11.3,8.7,49.6 (±5.4),-5.6 (±5.4),-11.3% (±8.7%)
415,Total,Total,Severen tsentralen,249,2020,21,263.0,260.0,292.0,252.0,243.0,262.0,16.5,1.96,14.5,247.5,276.5,-13.0,14.5,-5.0,4.9,262.0 (±14.5),-13.0 (±14.5),-5.0% (±4.9%)
416,Total,Total,Veliko Tarnovo,78,2020,21,80.0,78.0,87.0,72.0,73.0,78.0,5.4,1.96,4.7,73.3,82.7,0.0,4.7,0.0,5.7,78.0 (±4.7),0.0 (±4.7),0.0% (±5.7%)
417,Total,Total,Gabrovo,39,2020,21,38.0,49.0,55.0,53.0,40.0,47.0,6.8,1.96,6.0,41.0,53.0,-8.0,6.0,-17.0,9.4,47.0 (±6.0),-8.0 (±6.0),-17.0% (±9.4%)
418,Total,Total,Ruse,64,2020,21,64.0,70.0,72.0,56.0,61.0,64.6,5.9,1.96,5.2,59.39999999999999,69.8,-0.6,5.2,-0.9,7.4,64.6 (±5.2),-0.6 (±5.2),-0.9% (±7.4%)
419,Total,Total,Razgrad,26,2020,21,39.0,28.0,30.0,34.0,39.0,34.0,4.5,1.96,3.9,30.1,37.9,-8.0,3.9,-23.5,7.9,34.0 (±3.9),-8.0 (±3.9),-23.5% (±7.9%)
420,Total,Total,Silistra,42,2020,21,42.0,35.0,48.0,37.0,30.0,38.4,6.2,1.96,5.4,33.0,43.8,3.6,5.4,9.4,13.5,38.4 (±5.4),3.6 (±5.4),9.4% (±13.5%)
421,Total,Total,Severoiztochen,241,2020,21,273.0,229.0,265.0,228.0,241.0,247.2,18.6,1.96,16.3,230.89999999999998,263.5,-6.2,16.3,-2.5,6.0,247.2 (±16.3),-6.2 (±16.3),-2.5% (±6.0%)
422,Total,Total,Varna,117,2020,21,122.0,105.0,118.0,101.0,113.0,111.8,7.8,1.96,6.8,105.0,118.6,5.2,6.8,4.7,6.0,111.8 (±6.8),5.2 (±6.8),4.7% (±6.0%)
423,Total,Total,Dobrich,65,2020,21,52.0,44.0,58.0,52.0,50.0,51.2,4.5,1.96,3.9,47.300000000000004,55.1,13.8,3.9,27.0,9.0,51.2 (±3.9),13.8 (±3.9),27.0% (±9.0%)
424,Total,Total,Shumen,35,2020,21,59.0,42.0,46.0,42.0,51.0,48.0,6.4,1.96,5.6,42.4,53.6,-13.0,5.6,-27.1,7.6,48.0 (±5.6),-13.0 (±5.6),-27.1% (±7.6%)
425,Total,Total,Targovishte,24,2020,21,40.0,38.0,43.0,33.0,27.0,36.2,5.6,1.96,4.9,31.300000000000004,41.1,-12.2,4.9,-33.7,7.9,36.2 (±4.9),-12.2 (±4.9),-33.7% (±7.9%)
426,Total,Total,Yugoiztochen,294,2020,21,251.0,290.0,302.0,271.0,307.0,284.2,20.7,1.96,18.1,266.09999999999997,302.3,9.8,18.1,3.4,6.1,284.2 (±18.1),9.8 (±18.1),3.4% (±6.1%)
427,Total,Total,Burgas,97,2020,21,77.0,109.0,107.0,99.0,116.0,101.6,13.4,1.96,11.7,89.89999999999999,113.3,-4.6,11.7,-4.5,9.9,101.6 (±11.7),-4.6 (±11.7),-4.5% (±9.9%)
428,Total,Total,Sliven,54,2020,21,58.0,56.0,57.0,59.0,51.0,56.2,2.8,1.96,2.5,53.7,58.7,-2.2,2.5,-3.9,4.1,56.2 (±2.5),-2.2 (±2.5),-3.9% (±4.1%)
429,Total,Total,Yambol,40,2020,21,34.0,44.0,42.0,33.0,45.0,39.6,5.1,1.96,4.5,35.1,44.1,0.4,4.5,1.0,10.3,39.6 (±4.5),0.4 (±4.5),1.0% (±10.3%)
430,Total,Total,Stara Zagora,103,2020,21,82.0,81.0,96.0,80.0,95.0,86.8,7.1,1.96,6.2,80.6,93.0,16.2,6.2,18.7,7.9,86.8 (±6.2),16.2 (±6.2),18.7% (±7.9%)
431,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,877,2020,21,917.0,930.0,835.0,896.0,925.0,900.6,34.8,1.96,30.5,870.1,931.1,-23.6,30.5,-2.6,3.2,900.6 (±30.5),-23.6 (±30.5),-2.6% (±3.2%)
432,Total,Total,Yugozapaden,510,2020,21,519.0,538.0,461.0,520.0,540.0,515.6,28.7,1.96,25.2,490.40000000000003,540.8000000000001,-5.6,25.2,-1.1,4.6,515.6 (±25.2),-5.6 (±25.2),-1.1% (±4.6%)
433,Total,Total,Sofia (stolitsa),257,2020,21,299.0,294.0,244.0,278.0,306.0,284.2,22.1,1.96,19.4,264.8,303.59999999999997,-27.2,19.4,-9.6,5.7,284.2 (±19.4),-27.2 (±19.4),-9.6% (±5.7%)
434,Total,Total,Sofia,83,2020,21,71.0,70.0,75.0,86.0,78.0,76.0,5.8,1.96,5.1,70.9,81.1,7.0,5.1,9.2,6.9,76.0 (±5.1),7.0 (±5.1),9.2% (±6.9%)
435,Total,Total,Blagoevgrad,81,2020,21,53.0,80.0,59.0,71.0,67.0,66.0,9.4,1.96,8.2,57.8,74.2,15.0,8.2,22.7,13.5,66.0 (±8.2),15.0 (±8.2),22.7% (±13.5%)
436,Total,Total,Pernik,42,2020,21,50.0,47.0,41.0,41.0,42.0,44.2,3.7,1.96,3.2,41.0,47.400000000000006,-2.2,3.2,-5.0,6.4,44.2 (±3.2),-2.2 (±3.2),-5.0% (±6.4%)
437,Total,Total,Kyustendil,47,2020,21,46.0,47.0,42.0,44.0,47.0,45.2,1.9,1.96,1.7,43.5,46.900000000000006,1.8,1.7,4.0,3.8,45.2 (±1.7),1.8 (±1.7),4.0% (±3.8%)
438,Total,Total,Yuzhen tsentralen,367,2020,21,398.0,392.0,374.0,376.0,385.0,385.0,9.2,1.96,8.1,376.9,393.1,-18.0,8.1,-4.7,1.9,385.0 (±8.1),-18.0 (±8.1),-4.7% (±1.9%)
439,Total,Total,Plovdiv,172,2020,21,179.0,186.0,164.0,172.0,177.0,175.6,7.3,1.96,6.4,169.2,182.0,-3.6,6.4,-2.1,3.4,175.6 (±6.4),-3.6 (±6.4),-2.1% (±3.4%)
440,Total,Total,Haskovo,73,2020,21,81.0,75.0,81.0,74.0,72.0,76.6,3.7,1.96,3.2,73.39999999999999,79.8,-3.6,3.2,-4.7,3.8,76.6 (±3.2),-3.6 (±3.2),-4.7% (±3.8%)
441,Total,Total,Pazardzhik,65,2020,21,78.0,79.0,72.0,70.0,67.0,73.2,4.6,1.96,4.0,69.2,77.2,-8.2,4.0,-11.2,4.6,73.2 (±4.0),-8.2 (±4.0),-11.2% (±4.6%)
442,Total,Total,Smolyan,25,2020,21,27.0,26.0,34.0,30.0,35.0,30.4,3.6,1.96,3.2,27.2,33.6,-5.4,3.2,-17.8,7.8,30.4 (±3.2),-5.4 (±3.2),-17.8% (±7.8%)
443,Total,Total,Kardzhali,32,2020,21,33.0,26.0,23.0,30.0,34.0,29.2,4.2,1.96,3.7,25.5,32.9,2.8,3.7,9.6,12.3,29.2 (±3.7),2.8 (±3.7),9.6% (±12.3%)
444,Total,Total,Bulgaria,1799,2020,22,1837.0,1992.0,2054.0,1918.0,1967.0,1953.6,72.9,1.96,63.9,1889.6999999999998,2017.5,-154.6,63.9,-7.9,2.9,1953.6 (±63.9),-154.6 (±63.9),-7.9% (±2.9%)
445,Total,Total,Severna i yugoiztochna Bulgaria,977,2020,22,982.0,1041.0,1055.0,1066.0,1078.0,1044.4,33.5,1.96,29.4,1015.0000000000001,1073.8000000000002,-67.4,29.4,-6.5,2.5,1044.4 (±29.4),-67.4 (±29.4),-6.5% (±2.5%)
446,Total,Total,Severozapaden,240,2020,22,260.0,257.0,276.0,277.0,291.0,272.2,12.4,1.96,10.9,261.3,283.09999999999997,-32.2,10.9,-11.8,3.4,272.2 (±10.9),-32.2 (±10.9),-11.8% (±3.4%)
447,Total,Total,Vidin,35,2020,22,32.0,33.0,37.0,38.0,31.0,34.2,2.8,1.96,2.5,31.700000000000003,36.7,0.8,2.5,2.3,6.9,34.2 (±2.5),0.8 (±2.5),2.3% (±6.9%)
448,Total,Total,Montana,58,2020,22,59.0,38.0,47.0,54.0,62.0,52.0,8.6,1.96,7.5,44.5,59.5,6.0,7.5,11.5,14.0,52.0 (±7.5),6.0 (±7.5),11.5% (±14.0%)
449,Total,Total,Vratsa,57,2020,22,48.0,62.0,57.0,56.0,61.0,56.8,5.0,1.96,4.4,52.4,61.199999999999996,0.2,4.4,0.4,7.3,56.8 (±4.4),0.2 (±4.4),0.4% (±7.3%)
450,Total,Total,Pleven,62,2020,22,87.0,73.0,82.0,84.0,82.0,81.6,4.7,1.96,4.1,77.5,85.69999999999999,-19.6,4.1,-24.0,3.7,81.6 (±4.1),-19.6 (±4.1),-24.0% (±3.7%)
451,Total,Total,Lovech,28,2020,22,34.0,51.0,53.0,45.0,55.0,47.6,7.6,1.96,6.7,40.9,54.300000000000004,-19.6,6.7,-41.2,7.2,47.6 (±6.7),-19.6 (±6.7),-41.2% (±7.2%)
452,Total,Total,Severen tsentralen,256,2020,22,245.0,274.0,252.0,256.0,235.0,252.4,12.9,1.96,11.3,241.1,263.7,3.6,11.3,1.4,4.3,252.4 (±11.3),3.6 (±11.3),1.4% (±4.3%)
453,Total,Total,Veliko Tarnovo,84,2020,22,63.0,84.0,68.0,70.0,77.0,72.4,7.3,1.96,6.4,66.0,78.80000000000001,11.6,6.4,16.0,9.4,72.4 (±6.4),11.6 (±6.4),16.0% (±9.4%)
454,Total,Total,Gabrovo,34,2020,22,46.0,39.0,49.0,41.0,42.0,43.4,3.6,1.96,3.2,40.199999999999996,46.6,-9.4,3.2,-21.7,5.3,43.4 (±3.2),-9.4 (±3.2),-21.7% (±5.3%)
455,Total,Total,Ruse,73,2020,22,72.0,76.0,72.0,73.0,57.0,70.0,6.7,1.96,5.9,64.1,75.9,3.0,5.9,4.3,8.1,70.0 (±5.9),3.0 (±5.9),4.3% (±8.1%)
456,Total,Total,Razgrad,31,2020,22,30.0,46.0,26.0,32.0,32.0,33.2,6.8,1.96,6.0,27.200000000000003,39.2,-2.2,6.0,-6.6,14.3,33.2 (±6.0),-2.2 (±6.0),-6.6% (±14.3%)
457,Total,Total,Silistra,34,2020,22,34.0,29.0,37.0,40.0,27.0,33.4,4.8,1.96,4.2,29.2,37.6,0.6,4.2,1.8,11.4,33.4 (±4.2),0.6 (±4.2),1.8% (±11.4%)
458,Total,Total,Severoiztochen,233,2020,22,210.0,236.0,230.0,228.0,258.0,232.4,15.5,1.96,13.6,218.8,246.0,0.6,13.6,0.3,5.6,232.4 (±13.6),0.6 (±13.6),0.3% (±5.6%)
459,Total,Total,Varna,127,2020,22,97.0,118.0,96.0,109.0,112.0,106.4,8.6,1.96,7.5,98.9,113.9,20.6,7.5,19.4,7.9,106.4 (±7.5),20.6 (±7.5),19.4% (±7.9%)
460,Total,Total,Dobrich,47,2020,22,42.0,45.0,57.0,43.0,54.0,48.2,6.1,1.96,5.3,42.900000000000006,53.5,-1.2,5.3,-2.5,9.6,48.2 (±5.3),-1.2 (±5.3),-2.5% (±9.6%)
461,Total,Total,Shumen,35,2020,22,44.0,44.0,51.0,53.0,51.0,48.6,3.8,1.96,3.3,45.300000000000004,51.9,-13.6,3.3,-28.0,4.6,48.6 (±3.3),-13.6 (±3.3),-28.0% (±4.6%)
462,Total,Total,Targovishte,24,2020,22,27.0,29.0,26.0,23.0,41.0,29.2,6.2,1.96,5.4,23.799999999999997,34.6,-5.2,5.4,-17.8,12.8,29.2 (±5.4),-5.2 (±5.4),-17.8% (±12.8%)
463,Total,Total,Yugoiztochen,248,2020,22,267.0,274.0,297.0,305.0,294.0,287.4,14.4,1.96,12.6,274.79999999999995,300.0,-39.4,12.6,-13.7,3.6,287.4 (±12.6),-39.4 (±12.6),-13.7% (±3.6%)
464,Total,Total,Burgas,94,2020,22,97.0,91.0,107.0,87.0,104.0,97.2,7.5,1.96,6.6,90.60000000000001,103.8,-3.2,6.6,-3.3,6.1,97.2 (±6.6),-3.2 (±6.6),-3.3% (±6.1%)
465,Total,Total,Sliven,51,2020,22,56.0,55.0,46.0,68.0,45.0,54.0,8.3,1.96,7.3,46.7,61.3,-3.0,7.3,-5.6,11.2,54.0 (±7.3),-3.0 (±7.3),-5.6% (±11.2%)
466,Total,Total,Yambol,40,2020,22,39.0,44.0,33.0,39.0,35.0,38.0,3.8,1.96,3.3,34.7,41.3,2.0,3.3,5.3,8.4,38.0 (±3.3),2.0 (±3.3),5.3% (±8.4%)
467,Total,Total,Stara Zagora,63,2020,22,75.0,84.0,111.0,111.0,110.0,98.2,15.5,1.96,13.6,84.60000000000001,111.8,-35.2,13.6,-35.8,7.8,98.2 (±13.6),-35.2 (±13.6),-35.8% (±7.8%)
468,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,822,2020,22,855.0,951.0,999.0,852.0,889.0,909.2,57.3,1.96,50.2,859.0,959.4000000000001,-87.2,50.2,-9.6,4.7,909.2 (±50.2),-87.2 (±50.2),-9.6% (±4.7%)
469,Total,Total,Yugozapaden,456,2020,22,493.0,567.0,549.0,507.0,532.0,529.6,26.9,1.96,23.6,506.0,553.2,-73.6,23.6,-13.9,3.7,529.6 (±23.6),-73.6 (±23.6),-13.9% (±3.7%)
470,Total,Total,Sofia (stolitsa),244,2020,22,246.0,306.0,303.0,269.0,305.0,285.8,24.2,1.96,21.2,264.6,307.0,-41.8,21.2,-14.6,5.9,285.8 (±21.2),-41.8 (±21.2),-14.6% (±5.9%)
471,Total,Total,Sofia,68,2020,22,77.0,84.0,76.0,80.0,76.0,78.6,3.1,1.96,2.7,75.89999999999999,81.3,-10.6,2.7,-13.5,2.9,78.6 (±2.7),-10.6 (±2.7),-13.5% (±2.9%)
472,Total,Total,Blagoevgrad,60,2020,22,82.0,88.0,85.0,77.0,76.0,81.6,4.6,1.96,4.0,77.6,85.6,-21.6,4.0,-26.5,3.4,81.6 (±4.0),-21.6 (±4.0),-26.5% (±3.4%)
473,Total,Total,Pernik,33,2020,22,47.0,46.0,46.0,37.0,35.0,42.2,5.1,1.96,4.5,37.7,46.7,-9.2,4.5,-21.8,7.5,42.2 (±4.5),-9.2 (±4.5),-21.8% (±7.5%)
474,Total,Total,Kyustendil,51,2020,22,41.0,43.0,39.0,44.0,40.0,41.4,1.9,1.96,1.7,39.699999999999996,43.1,9.6,1.7,23.2,4.9,41.4 (±1.7),9.6 (±1.7),23.2% (±4.9%)
475,Total,Total,Yuzhen tsentralen,366,2020,22,362.0,384.0,450.0,345.0,357.0,379.6,37.4,1.96,32.8,346.8,412.40000000000003,-13.6,32.8,-3.6,7.7,379.6 (±32.8),-13.6 (±32.8),-3.6% (±7.7%)
476,Total,Total,Plovdiv,168,2020,22,167.0,186.0,218.0,154.0,167.0,178.4,22.3,1.96,19.5,158.9,197.9,-10.4,19.5,-5.8,9.3,178.4 (±19.5),-10.4 (±19.5),-5.8% (±9.3%)
477,Total,Total,Haskovo,61,2020,22,65.0,73.0,70.0,60.0,68.0,67.2,4.4,1.96,3.9,63.300000000000004,71.10000000000001,-6.2,3.9,-9.2,5.0,67.2 (±3.9),-6.2 (±3.9),-9.2% (±5.0%)
478,Total,Total,Pazardzhik,65,2020,22,74.0,60.0,87.0,71.0,67.0,71.8,8.9,1.96,7.8,64.0,79.6,-6.8,7.8,-9.5,8.8,71.8 (±7.8),-6.8 (±7.8),-9.5% (±8.8%)
479,Total,Total,Smolyan,40,2020,22,27.0,35.0,35.0,27.0,21.0,29.0,5.4,1.96,4.7,24.3,33.7,11.0,4.7,37.9,19.2,29.0 (±4.7),11.0 (±4.7),37.9% (±19.2%)
480,Total,Total,Kardzhali,32,2020,22,29.0,30.0,40.0,33.0,34.0,33.2,3.9,1.96,3.4,29.800000000000004,36.6,-1.2,3.4,-3.6,9.0,33.2 (±3.4),-1.2 (±3.4),-3.6% (±9.0%)
481,Total,Total,Bulgaria,1923,2020,23,1969.0,1782.0,1960.0,1952.0,1931.0,1918.8,69.5,1.96,60.9,1857.8999999999999,1979.7,4.2,60.9,0.2,3.1,1918.8 (±60.9),4.2 (±60.9),0.2% (±3.1%)
482,Total,Total,Severna i yugoiztochna Bulgaria,1006,2020,23,1072.0,962.0,1071.0,1011.0,1058.0,1034.8,42.7,1.96,37.4,997.4,1072.2,-28.8,37.4,-2.8,3.4,1034.8 (±37.4),-28.8 (±37.4),-2.8% (±3.4%)
483,Total,Total,Severozapaden,262,2020,23,293.0,250.0,294.0,265.0,272.0,274.8,16.8,1.96,14.7,260.1,289.5,-12.8,14.7,-4.7,4.8,274.8 (±14.7),-12.8 (±14.7),-4.7% (±4.8%)
484,Total,Total,Vidin,33,2020,23,46.0,39.0,47.0,30.0,34.0,39.2,6.6,1.96,5.8,33.400000000000006,45.0,-6.2,5.8,-15.8,10.9,39.2 (±5.8),-6.2 (±5.8),-15.8% (±10.9%)
485,Total,Total,Montana,51,2020,23,41.0,41.0,49.0,50.0,43.0,44.8,3.9,1.96,3.4,41.4,48.199999999999996,6.2,3.4,13.8,8.0,44.8 (±3.4),6.2 (±3.4),13.8% (±8.0%)
486,Total,Total,Vratsa,54,2020,23,77.0,59.0,59.0,60.0,70.0,65.0,7.3,1.96,6.4,58.6,71.4,-11.0,6.4,-16.9,7.5,65.0 (±6.4),-11.0 (±6.4),-16.9% (±7.5%)
487,Total,Total,Pleven,81,2020,23,79.0,63.0,94.0,83.0,72.0,78.2,10.4,1.96,9.1,69.10000000000001,87.3,2.8,9.1,3.6,10.8,78.2 (±9.1),2.8 (±9.1),3.6% (±10.8%)
488,Total,Total,Lovech,43,2020,23,50.0,48.0,45.0,42.0,53.0,47.6,3.8,1.96,3.3,44.300000000000004,50.9,-4.6,3.3,-9.7,5.8,47.6 (±3.3),-4.6 (±3.3),-9.7% (±5.8%)
489,Total,Total,Severen tsentralen,216,2020,23,243.0,228.0,252.0,239.0,254.0,243.2,9.4,1.96,8.2,235.0,251.39999999999998,-27.2,8.2,-11.2,2.9,243.2 (±8.2),-27.2 (±8.2),-11.2% (±2.9%)
490,Total,Total,Veliko Tarnovo,56,2020,23,76.0,76.0,75.0,63.0,69.0,71.8,5.1,1.96,4.5,67.3,76.3,-15.8,4.5,-22.0,4.6,71.8 (±4.5),-15.8 (±4.5),-22.0% (±4.6%)
491,Total,Total,Gabrovo,30,2020,23,39.0,30.0,37.0,44.0,42.0,38.4,4.8,1.96,4.2,34.199999999999996,42.6,-8.4,4.2,-21.9,7.7,38.4 (±4.2),-8.4 (±4.2),-21.9% (±7.7%)
492,Total,Total,Ruse,52,2020,23,60.0,58.0,70.0,67.0,73.0,65.6,5.7,1.96,5.0,60.599999999999994,70.6,-13.6,5.0,-20.7,5.6,65.6 (±5.0),-13.6 (±5.0),-20.7% (±5.6%)
493,Total,Total,Razgrad,44,2020,23,32.0,38.0,34.0,35.0,38.0,35.4,2.3,1.96,2.0,33.4,37.4,8.6,2.0,24.3,6.7,35.4 (±2.0),8.6 (±2.0),24.3% (±6.7%)
494,Total,Total,Silistra,34,2020,23,36.0,26.0,36.0,30.0,32.0,32.0,3.8,1.96,3.3,28.7,35.3,2.0,3.3,6.2,9.9,32.0 (±3.3),2.0 (±3.3),6.2% (±9.9%)
495,Total,Total,Severoiztochen,231,2020,23,262.0,215.0,244.0,247.0,231.0,239.8,15.8,1.96,13.8,226.0,253.60000000000002,-8.8,13.8,-3.7,5.2,239.8 (±13.8),-8.8 (±13.8),-3.7% (±5.2%)
496,Total,Total,Varna,98,2020,23,124.0,96.0,101.0,111.0,99.0,106.2,10.2,1.96,8.9,97.3,115.10000000000001,-8.2,8.9,-7.7,7.2,106.2 (±8.9),-8.2 (±8.9),-7.7% (±7.2%)
497,Total,Total,Dobrich,53,2020,23,48.0,53.0,50.0,57.0,47.0,51.0,3.6,1.96,3.2,47.8,54.2,2.0,3.2,3.9,6.1,51.0 (±3.2),2.0 (±3.2),3.9% (±6.1%)
498,Total,Total,Shumen,51,2020,23,52.0,41.0,60.0,50.0,48.0,50.2,6.1,1.96,5.3,44.900000000000006,55.5,0.8,5.3,1.6,9.7,50.2 (±5.3),0.8 (±5.3),1.6% (±9.7%)
499,Total,Total,Targovishte,29,2020,23,38.0,25.0,33.0,29.0,37.0,32.4,4.9,1.96,4.3,28.099999999999998,36.699999999999996,-3.4,4.3,-10.5,10.5,32.4 (±4.3),-3.4 (±4.3),-10.5% (±10.5%)
500,Total,Total,Yugoiztochen,297,2020,23,274.0,269.0,281.0,260.0,301.0,277.0,13.8,1.96,12.1,264.9,289.1,20.0,12.1,7.2,4.5,277.0 (±12.1),20.0 (±12.1),7.2% (±4.5%)
501,Total,Total,Burgas,95,2020,23,94.0,104.0,98.0,88.0,110.0,98.8,7.7,1.96,6.7,92.1,105.5,-3.8,6.7,-3.8,6.2,98.8 (±6.7),-3.8 (±6.7),-3.8% (±6.2%)
502,Total,Total,Sliven,65,2020,23,49.0,44.0,62.0,46.0,62.0,52.6,7.8,1.96,6.8,45.800000000000004,59.4,12.4,6.8,23.6,14.2,52.6 (±6.8),12.4 (±6.8),23.6% (±14.2%)
503,Total,Total,Yambol,42,2020,23,37.0,36.0,37.0,43.0,51.0,40.8,5.7,1.96,5.0,35.8,45.8,1.2,5.0,2.9,11.2,40.8 (±5.0),1.2 (±5.0),2.9% (±11.2%)
504,Total,Total,Stara Zagora,95,2020,23,94.0,85.0,84.0,83.0,78.0,84.8,5.2,1.96,4.6,80.2,89.39999999999999,10.2,4.6,12.0,5.7,84.8 (±4.6),10.2 (±4.6),12.0% (±5.7%)
505,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,917,2020,23,897.0,820.0,889.0,941.0,873.0,884.0,39.1,1.96,34.3,849.7,918.3,33.0,34.3,3.7,3.8,884.0 (±34.3),33.0 (±34.3),3.7% (±3.8%)
506,Total,Total,Yugozapaden,525,2020,23,508.0,467.0,527.0,544.0,508.0,510.8,25.7,1.96,22.5,488.3,533.3,14.2,22.5,2.8,4.4,510.8 (±22.5),14.2 (±22.5),2.8% (±4.4%)
507,Total,Total,Sofia (stolitsa),284,2020,23,273.0,258.0,299.0,305.0,278.0,282.6,17.3,1.96,15.2,267.40000000000003,297.8,1.4,15.2,0.5,5.1,282.6 (±15.2),1.4 (±15.2),0.5% (±5.1%)
508,Total,Total,Sofia,83,2020,23,80.0,72.0,65.0,73.0,64.0,70.8,5.8,1.96,5.1,65.7,75.89999999999999,12.2,5.1,17.2,7.8,70.8 (±5.1),12.2 (±5.1),17.2% (±7.8%)
509,Total,Total,Blagoevgrad,69,2020,23,60.0,63.0,84.0,86.0,81.0,74.8,11.0,1.96,9.6,65.2,84.39999999999999,-5.8,9.6,-7.8,10.4,74.8 (±9.6),-5.8 (±9.6),-7.8% (±10.4%)
510,Total,Total,Pernik,58,2020,23,40.0,28.0,40.0,36.0,45.0,37.8,5.7,1.96,5.0,32.8,42.8,20.2,5.0,53.4,17.9,37.8 (±5.0),20.2 (±5.0),53.4% (±17.9%)
