Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc
(50-54),Male,Blagoevgrad,2,2020,33,10.0,7.0,11.0,11.0,6.0,9.0,2.1,1.96,1.8,7.2,10.8,-7.0,1.8
(55-59),Male,Blagoevgrad,3,2020,33,10.0,7.0,11.0,11.0,6.0,9.0,2.1,1.96,1.8,7.2,10.8,-6.0,1.8
(60-64),Male,Blagoevgrad,4,2020,33,10.0,7.0,11.0,11.0,6.0,9.0,2.1,1.96,1.8,7.2,10.8,-5.0,1.8
(40-44),Male,Pernik,0,2020,33,5.0,3.0,4.0,5.0,3.0,4.0,0.9,1.96,0.8,3.2,4.8,-4.0,0.8
(45-49),Male,Pernik,2,2020,33,5.0,3.0,4.0,5.0,3.0,4.0,0.9,1.96,0.8,3.2,4.8,-2.0,0.8
(50-54),Male,Pernik,0,2020,33,5.0,3.0,4.0,5.0,3.0,4.0,0.9,1.96,0.8,3.2,4.8,-4.0,0.8
(55-59),Male,Pernik,0,2020,33,5.0,3.0,4.0,5.0,3.0,4.0,0.9,1.96,0.8,3.2,4.8,-4.0,0.8
(60-64),Male,Pernik,2,2020,33,5.0,3.0,4.0,5.0,3.0,4.0,0.9,1.96,0.8,3.2,4.8,-2.0,0.8
(40-44),Male,Kyustendil,0,2020,33,2.0,6.0,6.0,7.0,6.0,5.4,1.7,1.96,1.5,3.9000000000000004,6.9,-5.4,1.5
(45-49),Male,Kyustendil,2,2020,33,2.0,6.0,6.0,7.0,6.0,5.4,1.7,1.96,1.5,3.9000000000000004,6.9,-3.4,1.5
(50-54),Male,Kyustendil,2,2020,33,2.0,6.0,6.0,7.0,6.0,5.4,1.7,1.96,1.5,3.9000000000000004,6.9,-3.4,1.5
(55-59),Male,Kyustendil,2,2020,33,2.0,6.0,6.0,7.0,6.0,5.4,1.7,1.96,1.5,3.9000000000000004,6.9,-3.4,1.5
(60-64),Male,Kyustendil,3,2020,33,2.0,6.0,6.0,7.0,6.0,5.4,1.7,1.96,1.5,3.9000000000000004,6.9,-2.4,1.5
(40-44),Male,Yuzhen tsentralen,7,2020,33,50.0,57.0,44.0,56.0,46.0,50.6,5.2,1.96,4.6,46.0,55.2,-43.6,4.6
(45-49),Male,Yuzhen tsentralen,8,2020,33,50.0,57.0,44.0,56.0,46.0,50.6,5.2,1.96,4.6,46.0,55.2,-42.6,4.6
(50-54),Male,Yuzhen tsentralen,7,2020,33,50.0,57.0,44.0,56.0,46.0,50.6,5.2,1.96,4.6,46.0,55.2,-43.6,4.6
(55-59),Male,Yuzhen tsentralen,14,2020,33,50.0,57.0,44.0,56.0,46.0,50.6,5.2,1.96,4.6,46.0,55.2,-36.6,4.6
(60-64),Male,Yuzhen tsentralen,23,2020,33,50.0,57.0,44.0,56.0,46.0,50.6,5.2,1.96,4.6,46.0,55.2,-27.6,4.6
(40-44),Male,Plovdiv,3,2020,33,24.0,18.0,15.0,24.0,20.0,20.2,3.5,1.96,3.1,17.099999999999998,23.3,-17.2,3.1
(45-49),Male,Plovdiv,3,2020,33,24.0,18.0,15.0,24.0,20.0,20.2,3.5,1.96,3.1,17.099999999999998,23.3,-17.2,3.1
(50-54),Male,Plovdiv,2,2020,33,24.0,18.0,15.0,24.0,20.0,20.2,3.5,1.96,3.1,17.099999999999998,23.3,-18.2,3.1
(55-59),Male,Plovdiv,2,2020,33,24.0,18.0,15.0,24.0,20.0,20.2,3.5,1.96,3.1,17.099999999999998,23.3,-18.2,3.1
(60-64),Male,Plovdiv,6,2020,33,24.0,18.0,15.0,24.0,20.0,20.2,3.5,1.96,3.1,17.099999999999998,23.3,-14.2,3.1
(40-44),Male,Haskovo,0,2020,33,10.0,14.0,15.0,12.0,6.0,11.4,3.2,1.96,2.8,8.600000000000001,14.2,-11.4,2.8
(45-49),Male,Haskovo,0,2020,33,10.0,14.0,15.0,12.0,6.0,11.4,3.2,1.96,2.8,8.600000000000001,14.2,-11.4,2.8
(50-54),Male,Haskovo,1,2020,33,10.0,14.0,15.0,12.0,6.0,11.4,3.2,1.96,2.8,8.600000000000001,14.2,-10.4,2.8
(55-59),Male,Haskovo,2,2020,33,10.0,14.0,15.0,12.0,6.0,11.4,3.2,1.96,2.8,8.600000000000001,14.2,-9.4,2.8
(60-64),Male,Haskovo,3,2020,33,10.0,14.0,15.0,12.0,6.0,11.4,3.2,1.96,2.8,8.600000000000001,14.2,-8.4,2.8
(40-44),Male,Pazardzhik,3,2020,33,11.0,11.0,9.0,14.0,10.0,11.0,1.7,1.96,1.5,9.5,12.5,-8.0,1.5
(45-49),Male,Pazardzhik,3,2020,33,11.0,11.0,9.0,14.0,10.0,11.0,1.7,1.96,1.5,9.5,12.5,-8.0,1.5
(50-54),Male,Pazardzhik,3,2020,33,11.0,11.0,9.0,14.0,10.0,11.0,1.7,1.96,1.5,9.5,12.5,-8.0,1.5
(55-59),Male,Pazardzhik,5,2020,33,11.0,11.0,9.0,14.0,10.0,11.0,1.7,1.96,1.5,9.5,12.5,-6.0,1.5
(60-64),Male,Pazardzhik,7,2020,33,11.0,11.0,9.0,14.0,10.0,11.0,1.7,1.96,1.5,9.5,12.5,-4.0,1.5
(40-44),Male,Smolyan,1,2020,33,3.0,6.0,4.0,4.0,5.0,4.4,1.0,1.96,0.9,3.5000000000000004,5.300000000000001,-3.4,0.9
(45-49),Male,Smolyan,1,2020,33,3.0,6.0,4.0,4.0,5.0,4.4,1.0,1.96,0.9,3.5000000000000004,5.300000000000001,-3.4,0.9
(50-54),Male,Smolyan,1,2020,33,3.0,6.0,4.0,4.0,5.0,4.4,1.0,1.96,0.9,3.5000000000000004,5.300000000000001,-3.4,0.9
(55-59),Male,Smolyan,4,2020,33,3.0,6.0,4.0,4.0,5.0,4.4,1.0,1.96,0.9,3.5000000000000004,5.300000000000001,-0.4,0.9
(60-64),Male,Smolyan,3,2020,33,3.0,6.0,4.0,4.0,5.0,4.4,1.0,1.96,0.9,3.5000000000000004,5.300000000000001,-1.4,0.9
(40-44),Male,Kardzhali,0,2020,33,2.0,8.0,1.0,2.0,5.0,3.6,2.6,1.96,2.3,1.3000000000000003,5.9,-3.6,2.3
(45-49),Male,Kardzhali,1,2020,33,2.0,8.0,1.0,2.0,5.0,3.6,2.6,1.96,2.3,1.3000000000000003,5.9,-2.6,2.3
(50-54),Male,Kardzhali,0,2020,33,2.0,8.0,1.0,2.0,5.0,3.6,2.6,1.96,2.3,1.3000000000000003,5.9,-3.6,2.3
(55-59),Male,Kardzhali,1,2020,33,2.0,8.0,1.0,2.0,5.0,3.6,2.6,1.96,2.3,1.3000000000000003,5.9,-2.6,2.3
(60-64),Male,Kardzhali,4,2020,33,2.0,8.0,1.0,2.0,5.0,3.6,2.6,1.96,2.3,1.3000000000000003,5.9,0.4,2.3
(40-44),Female,Bulgaria,8,2020,34,106.0,123.0,114.0,110.0,99.0,110.4,8.0,1.96,7.0,103.4,117.4,-102.4,7.0
(45-49),Female,Bulgaria,8,2020,34,106.0,123.0,114.0,110.0,99.0,110.4,8.0,1.96,7.0,103.4,117.4,-102.4,7.0
(50-54),Female,Bulgaria,20,2020,34,106.0,123.0,114.0,110.0,99.0,110.4,8.0,1.96,7.0,103.4,117.4,-90.4,7.0
(55-59),Female,Bulgaria,27,2020,34,106.0,123.0,114.0,110.0,99.0,110.4,8.0,1.96,7.0,103.4,117.4,-83.4,7.0
(60-64),Female,Bulgaria,38,2020,34,106.0,123.0,114.0,110.0,99.0,110.4,8.0,1.96,7.0,103.4,117.4,-72.4,7.0
(40-44),Female,Severna i yugoiztochna Bulgaria,4,2020,34,57.0,64.0,52.0,63.0,53.0,57.8,5.0,1.96,4.4,53.4,62.199999999999996,-53.8,4.4
(45-49),Female,Severna i yugoiztochna Bulgaria,6,2020,34,57.0,64.0,52.0,63.0,53.0,57.8,5.0,1.96,4.4,53.4,62.199999999999996,-51.8,4.4
(50-54),Female,Severna i yugoiztochna Bulgaria,11,2020,34,57.0,64.0,52.0,63.0,53.0,57.8,5.0,1.96,4.4,53.4,62.199999999999996,-46.8,4.4
(55-59),Female,Severna i yugoiztochna Bulgaria,13,2020,34,57.0,64.0,52.0,63.0,53.0,57.8,5.0,1.96,4.4,53.4,62.199999999999996,-44.8,4.4
(60-64),Female,Severna i yugoiztochna Bulgaria,19,2020,34,57.0,64.0,52.0,63.0,53.0,57.8,5.0,1.96,4.4,53.4,62.199999999999996,-38.8,4.4
(40-44),Female,Severozapaden,0,2020,34,11.0,15.0,7.0,14.0,10.0,11.4,2.9,1.96,2.5,8.9,13.9,-11.4,2.5
(45-49),Female,Severozapaden,3,2020,34,11.0,15.0,7.0,14.0,10.0,11.4,2.9,1.96,2.5,8.9,13.9,-8.4,2.5
(50-54),Female,Severozapaden,3,2020,34,11.0,15.0,7.0,14.0,10.0,11.4,2.9,1.96,2.5,8.9,13.9,-8.4,2.5
(55-59),Female,Severozapaden,2,2020,34,11.0,15.0,7.0,14.0,10.0,11.4,2.9,1.96,2.5,8.9,13.9,-9.4,2.5
(60-64),Female,Severozapaden,4,2020,34,11.0,15.0,7.0,14.0,10.0,11.4,2.9,1.96,2.5,8.9,13.9,-7.4,2.5
(40-44),Female,Vidin,0,2020,34,2.0,2.0,1.0,0.0,1.0,1.2,0.7,1.96,0.6,0.6,1.7999999999999998,-1.2,0.6
(45-49),Female,Vidin,0,2020,34,2.0,2.0,1.0,0.0,1.0,1.2,0.7,1.96,0.6,0.6,1.7999999999999998,-1.2,0.6
(50-54),Female,Vidin,0,2020,34,2.0,2.0,1.0,0.0,1.0,1.2,0.7,1.96,0.6,0.6,1.7999999999999998,-1.2,0.6
(55-59),Female,Vidin,0,2020,34,2.0,2.0,1.0,0.0,1.0,1.2,0.7,1.96,0.6,0.6,1.7999999999999998,-1.2,0.6
(60-64),Female,Vidin,0,2020,34,2.0,2.0,1.0,0.0,1.0,1.2,0.7,1.96,0.6,0.6,1.7999999999999998,-1.2,0.6
(40-44),Female,Montana,0,2020,34,0.0,3.0,1.0,1.0,4.0,1.8,1.5,1.96,1.3,0.5,3.1,-1.8,1.3
(45-49),Female,Montana,0,2020,34,0.0,3.0,1.0,1.0,4.0,1.8,1.5,1.96,1.3,0.5,3.1,-1.8,1.3
(50-54),Female,Montana,0,2020,34,0.0,3.0,1.0,1.0,4.0,1.8,1.5,1.96,1.3,0.5,3.1,-1.8,1.3
(55-59),Female,Montana,0,2020,34,0.0,3.0,1.0,1.0,4.0,1.8,1.5,1.96,1.3,0.5,3.1,-1.8,1.3
(60-64),Female,Montana,1,2020,34,0.0,3.0,1.0,1.0,4.0,1.8,1.5,1.96,1.3,0.5,3.1,-0.8,1.3
(40-44),Female,Vratsa,0,2020,34,6.0,5.0,3.0,6.0,0.0,4.0,2.3,1.96,2.0,2.0,6.0,-4.0,2.0
(45-49),Female,Vratsa,0,2020,34,6.0,5.0,3.0,6.0,0.0,4.0,2.3,1.96,2.0,2.0,6.0,-4.0,2.0
(50-54),Female,Vratsa,0,2020,34,6.0,5.0,3.0,6.0,0.0,4.0,2.3,1.96,2.0,2.0,6.0,-4.0,2.0
(55-59),Female,Vratsa,1,2020,34,6.0,5.0,3.0,6.0,0.0,4.0,2.3,1.96,2.0,2.0,6.0,-3.0,2.0
(60-64),Female,Vratsa,2,2020,34,6.0,5.0,3.0,6.0,0.0,4.0,2.3,1.96,2.0,2.0,6.0,-2.0,2.0
(40-44),Female,Pleven,0,2020,34,3.0,5.0,1.0,7.0,5.0,4.2,2.0,1.96,1.8,2.4000000000000004,6.0,-4.2,1.8
(45-49),Female,Pleven,3,2020,34,3.0,5.0,1.0,7.0,5.0,4.2,2.0,1.96,1.8,2.4000000000000004,6.0,-1.2,1.8
(50-54),Female,Pleven,2,2020,34,3.0,5.0,1.0,7.0,5.0,4.2,2.0,1.96,1.8,2.4000000000000004,6.0,-2.2,1.8
(55-59),Female,Pleven,1,2020,34,3.0,5.0,1.0,7.0,5.0,4.2,2.0,1.96,1.8,2.4000000000000004,6.0,-3.2,1.8
(60-64),Female,Pleven,0,2020,34,3.0,5.0,1.0,7.0,5.0,4.2,2.0,1.96,1.8,2.4000000000000004,6.0,-4.2,1.8
(40-44),Female,Lovech,0,2020,34,0.0,0.0,1.0,0.0,0.0,0.2,0.4,1.96,0.4,-0.2,0.6000000000000001,-0.2,0.4
(45-49),Female,Lovech,0,2020,34,0.0,0.0,1.0,0.0,0.0,0.2,0.4,1.96,0.4,-0.2,0.6000000000000001,-0.2,0.4
(50-54),Female,Lovech,1,2020,34,0.0,0.0,1.0,0.0,0.0,0.2,0.4,1.96,0.4,-0.2,0.6000000000000001,0.8,0.4
(55-59),Female,Lovech,0,2020,34,0.0,0.0,1.0,0.0,0.0,0.2,0.4,1.96,0.4,-0.2,0.6000000000000001,-0.2,0.4
(60-64),Female,Lovech,1,2020,34,0.0,0.0,1.0,0.0,0.0,0.2,0.4,1.96,0.4,-0.2,0.6000000000000001,0.8,0.4
(40-44),Female,Severen tsentralen,2,2020,34,11.0,19.0,14.0,10.0,10.0,12.8,3.4,1.96,3.0,9.8,15.8,-10.8,3.0
(45-49),Female,Severen tsentralen,0,2020,34,11.0,19.0,14.0,10.0,10.0,12.8,3.4,1.96,3.0,9.8,15.8,-12.8,3.0
(50-54),Female,Severen tsentralen,1,2020,34,11.0,19.0,14.0,10.0,10.0,12.8,3.4,1.96,3.0,9.8,15.8,-11.8,3.0
(55-59),Female,Severen tsentralen,2,2020,34,11.0,19.0,14.0,10.0,10.0,12.8,3.4,1.96,3.0,9.8,15.8,-10.8,3.0
(60-64),Female,Severen tsentralen,9,2020,34,11.0,19.0,14.0,10.0,10.0,12.8,3.4,1.96,3.0,9.8,15.8,-3.8,3.0
(40-44),Female,Veliko Tarnovo,2,2020,34,3.0,7.0,4.0,1.0,3.0,3.6,2.0,1.96,1.8,1.8,5.4,-1.6,1.8
(45-49),Female,Veliko Tarnovo,0,2020,34,3.0,7.0,4.0,1.0,3.0,3.6,2.0,1.96,1.8,1.8,5.4,-3.6,1.8
(50-54),Female,Veliko Tarnovo,0,2020,34,3.0,7.0,4.0,1.0,3.0,3.6,2.0,1.96,1.8,1.8,5.4,-3.6,1.8
(55-59),Female,Veliko Tarnovo,0,2020,34,3.0,7.0,4.0,1.0,3.0,3.6,2.0,1.96,1.8,1.8,5.4,-3.6,1.8
(60-64),Female,Veliko Tarnovo,0,2020,34,3.0,7.0,4.0,1.0,3.0,3.6,2.0,1.96,1.8,1.8,5.4,-3.6,1.8
(40-44),Female,Gabrovo,0,2020,34,1.0,2.0,4.0,3.0,0.0,2.0,1.4,1.96,1.2,0.8,3.2,-2.0,1.2
(45-49),Female,Gabrovo,0,2020,34,1.0,2.0,4.0,3.0,0.0,2.0,1.4,1.96,1.2,0.8,3.2,-2.0,1.2
(50-54),Female,Gabrovo,0,2020,34,1.0,2.0,4.0,3.0,0.0,2.0,1.4,1.96,1.2,0.8,3.2,-2.0,1.2
(55-59),Female,Gabrovo,0,2020,34,1.0,2.0,4.0,3.0,0.0,2.0,1.4,1.96,1.2,0.8,3.2,-2.0,1.2
(60-64),Female,Gabrovo,2,2020,34,1.0,2.0,4.0,3.0,0.0,2.0,1.4,1.96,1.2,0.8,3.2,0.0,1.2
(40-44),Female,Ruse,0,2020,34,2.0,3.0,2.0,2.0,5.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,-2.8,1.1
(45-49),Female,Ruse,0,2020,34,2.0,3.0,2.0,2.0,5.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,-2.8,1.1
(50-54),Female,Ruse,0,2020,34,2.0,3.0,2.0,2.0,5.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,-2.8,1.1
(55-59),Female,Ruse,0,2020,34,2.0,3.0,2.0,2.0,5.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,-2.8,1.1
(60-64),Female,Ruse,4,2020,34,2.0,3.0,2.0,2.0,5.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,1.2,1.1
(40-44),Female,Razgrad,0,2020,34,4.0,2.0,2.0,3.0,1.0,2.4,1.0,1.96,0.9,1.5,3.3,-2.4,0.9
(45-49),Female,Razgrad,0,2020,34,4.0,2.0,2.0,3.0,1.0,2.4,1.0,1.96,0.9,1.5,3.3,-2.4,0.9
(50-54),Female,Razgrad,1,2020,34,4.0,2.0,2.0,3.0,1.0,2.4,1.0,1.96,0.9,1.5,3.3,-1.4,0.9
(55-59),Female,Razgrad,1,2020,34,4.0,2.0,2.0,3.0,1.0,2.4,1.0,1.96,0.9,1.5,3.3,-1.4,0.9
(60-64),Female,Razgrad,2,2020,34,4.0,2.0,2.0,3.0,1.0,2.4,1.0,1.96,0.9,1.5,3.3,-0.4,0.9
(40-44),Female,Silistra,0,2020,34,1.0,5.0,2.0,1.0,1.0,2.0,1.5,1.96,1.3,0.7,3.3,-2.0,1.3
(45-49),Female,Silistra,0,2020,34,1.0,5.0,2.0,1.0,1.0,2.0,1.5,1.96,1.3,0.7,3.3,-2.0,1.3
(50-54),Female,Silistra,0,2020,34,1.0,5.0,2.0,1.0,1.0,2.0,1.5,1.96,1.3,0.7,3.3,-2.0,1.3
(55-59),Female,Silistra,1,2020,34,1.0,5.0,2.0,1.0,1.0,2.0,1.5,1.96,1.3,0.7,3.3,-1.0,1.3
(60-64),Female,Silistra,1,2020,34,1.0,5.0,2.0,1.0,1.0,2.0,1.5,1.96,1.3,0.7,3.3,-1.0,1.3
(40-44),Female,Severoiztochen,1,2020,34,18.0,11.0,14.0,18.0,19.0,16.0,3.0,1.96,2.6,13.4,18.6,-15.0,2.6
(45-49),Female,Severoiztochen,3,2020,34,18.0,11.0,14.0,18.0,19.0,16.0,3.0,1.96,2.6,13.4,18.6,-13.0,2.6
(50-54),Female,Severoiztochen,2,2020,34,18.0,11.0,14.0,18.0,19.0,16.0,3.0,1.96,2.6,13.4,18.6,-14.0,2.6
(55-59),Female,Severoiztochen,5,2020,34,18.0,11.0,14.0,18.0,19.0,16.0,3.0,1.96,2.6,13.4,18.6,-11.0,2.6
(60-64),Female,Severoiztochen,5,2020,34,18.0,11.0,14.0,18.0,19.0,16.0,3.0,1.96,2.6,13.4,18.6,-11.0,2.6
(40-44),Female,Varna,0,2020,34,7.0,5.0,4.0,11.0,11.0,7.6,2.9,1.96,2.5,5.1,10.1,-7.6,2.5
(45-49),Female,Varna,1,2020,34,7.0,5.0,4.0,11.0,11.0,7.6,2.9,1.96,2.5,5.1,10.1,-6.6,2.5
(50-54),Female,Varna,2,2020,34,7.0,5.0,4.0,11.0,11.0,7.6,2.9,1.96,2.5,5.1,10.1,-5.6,2.5
(55-59),Female,Varna,2,2020,34,7.0,5.0,4.0,11.0,11.0,7.6,2.9,1.96,2.5,5.1,10.1,-5.6,2.5
(60-64),Female,Varna,3,2020,34,7.0,5.0,4.0,11.0,11.0,7.6,2.9,1.96,2.5,5.1,10.1,-4.6,2.5
(40-44),Female,Dobrich,1,2020,34,6.0,5.0,4.0,3.0,1.0,3.8,1.7,1.96,1.5,2.3,5.3,-2.8,1.5
(45-49),Female,Dobrich,2,2020,34,6.0,5.0,4.0,3.0,1.0,3.8,1.7,1.96,1.5,2.3,5.3,-1.8,1.5
(50-54),Female,Dobrich,0,2020,34,6.0,5.0,4.0,3.0,1.0,3.8,1.7,1.96,1.5,2.3,5.3,-3.8,1.5
(55-59),Female,Dobrich,2,2020,34,6.0,5.0,4.0,3.0,1.0,3.8,1.7,1.96,1.5,2.3,5.3,-1.8,1.5
(60-64),Female,Dobrich,2,2020,34,6.0,5.0,4.0,3.0,1.0,3.8,1.7,1.96,1.5,2.3,5.3,-1.8,1.5
(40-44),Female,Shumen,0,2020,34,3.0,1.0,4.0,3.0,2.0,2.6,1.0,1.96,0.9,1.7000000000000002,3.5,-2.6,0.9
(45-49),Female,Shumen,0,2020,34,3.0,1.0,4.0,3.0,2.0,2.6,1.0,1.96,0.9,1.7000000000000002,3.5,-2.6,0.9
(50-54),Female,Shumen,0,2020,34,3.0,1.0,4.0,3.0,2.0,2.6,1.0,1.96,0.9,1.7000000000000002,3.5,-2.6,0.9
(55-59),Female,Shumen,1,2020,34,3.0,1.0,4.0,3.0,2.0,2.6,1.0,1.96,0.9,1.7000000000000002,3.5,-1.6,0.9
(60-64),Female,Shumen,0,2020,34,3.0,1.0,4.0,3.0,2.0,2.6,1.0,1.96,0.9,1.7000000000000002,3.5,-2.6,0.9
(40-44),Female,Targovishte,0,2020,34,2.0,0.0,2.0,1.0,5.0,2.0,1.7,1.96,1.5,0.5,3.5,-2.0,1.5
(45-49),Female,Targovishte,0,2020,34,2.0,0.0,2.0,1.0,5.0,2.0,1.7,1.96,1.5,0.5,3.5,-2.0,1.5
(50-54),Female,Targovishte,0,2020,34,2.0,0.0,2.0,1.0,5.0,2.0,1.7,1.96,1.5,0.5,3.5,-2.0,1.5
(55-59),Female,Targovishte,0,2020,34,2.0,0.0,2.0,1.0,5.0,2.0,1.7,1.96,1.5,0.5,3.5,-2.0,1.5
(60-64),Female,Targovishte,0,2020,34,2.0,0.0,2.0,1.0,5.0,2.0,1.7,1.96,1.5,0.5,3.5,-2.0,1.5
(40-44),Female,Yugoiztochen,1,2020,34,17.0,19.0,17.0,21.0,14.0,17.6,2.3,1.96,2.0,15.600000000000001,19.6,-16.6,2.0
(45-49),Female,Yugoiztochen,0,2020,34,17.0,19.0,17.0,21.0,14.0,17.6,2.3,1.96,2.0,15.600000000000001,19.6,-17.6,2.0
(50-54),Female,Yugoiztochen,5,2020,34,17.0,19.0,17.0,21.0,14.0,17.6,2.3,1.96,2.0,15.600000000000001,19.6,-12.6,2.0
(55-59),Female,Yugoiztochen,4,2020,34,17.0,19.0,17.0,21.0,14.0,17.6,2.3,1.96,2.0,15.600000000000001,19.6,-13.6,2.0
(60-64),Female,Yugoiztochen,1,2020,34,17.0,19.0,17.0,21.0,14.0,17.6,2.3,1.96,2.0,15.600000000000001,19.6,-16.6,2.0
(40-44),Female,Burgas,0,2020,34,7.0,7.0,4.0,12.0,5.0,7.0,2.8,1.96,2.5,4.5,9.5,-7.0,2.5
(45-49),Female,Burgas,0,2020,34,7.0,7.0,4.0,12.0,5.0,7.0,2.8,1.96,2.5,4.5,9.5,-7.0,2.5
(50-54),Female,Burgas,2,2020,34,7.0,7.0,4.0,12.0,5.0,7.0,2.8,1.96,2.5,4.5,9.5,-5.0,2.5
(55-59),Female,Burgas,0,2020,34,7.0,7.0,4.0,12.0,5.0,7.0,2.8,1.96,2.5,4.5,9.5,-7.0,2.5
(60-64),Female,Burgas,1,2020,34,7.0,7.0,4.0,12.0,5.0,7.0,2.8,1.96,2.5,4.5,9.5,-6.0,2.5
(40-44),Female,Sliven,0,2020,34,2.0,2.0,5.0,2.0,3.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,-2.8,1.1
(45-49),Female,Sliven,0,2020,34,2.0,2.0,5.0,2.0,3.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,-2.8,1.1
(50-54),Female,Sliven,3,2020,34,2.0,2.0,5.0,2.0,3.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,0.2,1.1
(55-59),Female,Sliven,1,2020,34,2.0,2.0,5.0,2.0,3.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,-1.8,1.1
(60-64),Female,Sliven,0,2020,34,2.0,2.0,5.0,2.0,3.0,2.8,1.2,1.96,1.1,1.6999999999999997,3.9,-2.8,1.1
(40-44),Female,Yambol,0,2020,34,3.0,3.0,3.0,3.0,2.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-2.8,0.4
(45-49),Female,Yambol,0,2020,34,3.0,3.0,3.0,3.0,2.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-2.8,0.4
(50-54),Female,Yambol,0,2020,34,3.0,3.0,3.0,3.0,2.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-2.8,0.4
(55-59),Female,Yambol,2,2020,34,3.0,3.0,3.0,3.0,2.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-0.8,0.4
(60-64),Female,Yambol,0,2020,34,3.0,3.0,3.0,3.0,2.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-2.8,0.4
(40-44),Female,Stara Zagora,1,2020,34,5.0,7.0,5.0,4.0,4.0,5.0,1.1,1.96,1.0,4.0,6.0,-4.0,1.0
(45-49),Female,Stara Zagora,0,2020,34,5.0,7.0,5.0,4.0,4.0,5.0,1.1,1.96,1.0,4.0,6.0,-5.0,1.0
(50-54),Female,Stara Zagora,0,2020,34,5.0,7.0,5.0,4.0,4.0,5.0,1.1,1.96,1.0,4.0,6.0,-5.0,1.0
(55-59),Female,Stara Zagora,1,2020,34,5.0,7.0,5.0,4.0,4.0,5.0,1.1,1.96,1.0,4.0,6.0,-4.0,1.0
(60-64),Female,Stara Zagora,0,2020,34,5.0,7.0,5.0,4.0,4.0,5.0,1.1,1.96,1.0,4.0,6.0,-5.0,1.0
(40-44),Female,Yugozapadna i yuzhna tsentralna Bulgaria,4,2020,34,49.0,59.0,62.0,47.0,46.0,52.6,6.6,1.96,5.8,46.800000000000004,58.4,-48.6,5.8
(45-49),Female,Yugozapadna i yuzhna tsentralna Bulgaria,2,2020,34,49.0,59.0,62.0,47.0,46.0,52.6,6.6,1.96,5.8,46.800000000000004,58.4,-50.6,5.8
(50-54),Female,Yugozapadna i yuzhna tsentralna Bulgaria,9,2020,34,49.0,59.0,62.0,47.0,46.0,52.6,6.6,1.96,5.8,46.800000000000004,58.4,-43.6,5.8
(55-59),Female,Yugozapadna i yuzhna tsentralna Bulgaria,14,2020,34,49.0,59.0,62.0,47.0,46.0,52.6,6.6,1.96,5.8,46.800000000000004,58.4,-38.6,5.8
(60-64),Female,Yugozapadna i yuzhna tsentralna Bulgaria,19,2020,34,49.0,59.0,62.0,47.0,46.0,52.6,6.6,1.96,5.8,46.800000000000004,58.4,-33.6,5.8
(40-44),Female,Yugozapaden,3,2020,34,20.0,36.0,40.0,29.0,24.0,29.8,7.4,1.96,6.5,23.3,36.3,-26.8,6.5
(45-49),Female,Yugozapaden,1,2020,34,20.0,36.0,40.0,29.0,24.0,29.8,7.4,1.96,6.5,23.3,36.3,-28.8,6.5
(50-54),Female,Yugozapaden,7,2020,34,20.0,36.0,40.0,29.0,24.0,29.8,7.4,1.96,6.5,23.3,36.3,-22.8,6.5
(55-59),Female,Yugozapaden,4,2020,34,20.0,36.0,40.0,29.0,24.0,29.8,7.4,1.96,6.5,23.3,36.3,-25.8,6.5
(60-64),Female,Yugozapaden,13,2020,34,20.0,36.0,40.0,29.0,24.0,29.8,7.4,1.96,6.5,23.3,36.3,-16.8,6.5
(40-44),Female,Sofia (stolitsa),1,2020,34,15.0,18.0,21.0,19.0,11.0,16.8,3.5,1.96,3.1,13.700000000000001,19.900000000000002,-15.8,3.1
(45-49),Female,Sofia (stolitsa),1,2020,34,15.0,18.0,21.0,19.0,11.0,16.8,3.5,1.96,3.1,13.700000000000001,19.900000000000002,-15.8,3.1
(50-54),Female,Sofia (stolitsa),4,2020,34,15.0,18.0,21.0,19.0,11.0,16.8,3.5,1.96,3.1,13.700000000000001,19.900000000000002,-12.8,3.1
(55-59),Female,Sofia (stolitsa),1,2020,34,15.0,18.0,21.0,19.0,11.0,16.8,3.5,1.96,3.1,13.700000000000001,19.900000000000002,-15.8,3.1
(60-64),Female,Sofia (stolitsa),8,2020,34,15.0,18.0,21.0,19.0,11.0,16.8,3.5,1.96,3.1,13.700000000000001,19.900000000000002,-8.8,3.1
