Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc
(40-44),Female,Veliko Tarnovo,0,2020,10,6.0,4.0,5.0,2.0,5.0,4.4,1.4,1.96,1.2,3.2,5.6000000000000005,-4.4,1.2
(45-49),Female,Veliko Tarnovo,2,2020,10,6.0,4.0,5.0,2.0,5.0,4.4,1.4,1.96,1.2,3.2,5.6000000000000005,-2.4,1.2
(50-54),Female,Veliko Tarnovo,0,2020,10,6.0,4.0,5.0,2.0,5.0,4.4,1.4,1.96,1.2,3.2,5.6000000000000005,-4.4,1.2
(55-59),Female,Veliko Tarnovo,1,2020,10,6.0,4.0,5.0,2.0,5.0,4.4,1.4,1.96,1.2,3.2,5.6000000000000005,-3.4,1.2
(60-64),Female,Veliko Tarnovo,2,2020,10,6.0,4.0,5.0,2.0,5.0,4.4,1.4,1.96,1.2,3.2,5.6000000000000005,-2.4,1.2
(40-44),Female,Gabrovo,0,2020,10,3.0,1.0,1.0,4.0,0.0,1.8,1.5,1.96,1.3,0.5,3.1,-1.8,1.3
(45-49),Female,Gabrovo,0,2020,10,3.0,1.0,1.0,4.0,0.0,1.8,1.5,1.96,1.3,0.5,3.1,-1.8,1.3
(50-54),Female,Gabrovo,0,2020,10,3.0,1.0,1.0,4.0,0.0,1.8,1.5,1.96,1.3,0.5,3.1,-1.8,1.3
(55-59),Female,Gabrovo,0,2020,10,3.0,1.0,1.0,4.0,0.0,1.8,1.5,1.96,1.3,0.5,3.1,-1.8,1.3
(60-64),Female,Gabrovo,1,2020,10,3.0,1.0,1.0,4.0,0.0,1.8,1.5,1.96,1.3,0.5,3.1,-0.8,1.3
(40-44),Female,Ruse,0,2020,10,3.0,4.0,3.0,3.0,3.0,3.2,0.4,1.96,0.4,2.8000000000000003,3.6,-3.2,0.4
(45-49),Female,Ruse,0,2020,10,3.0,4.0,3.0,3.0,3.0,3.2,0.4,1.96,0.4,2.8000000000000003,3.6,-3.2,0.4
(50-54),Female,Ruse,0,2020,10,3.0,4.0,3.0,3.0,3.0,3.2,0.4,1.96,0.4,2.8000000000000003,3.6,-3.2,0.4
(55-59),Female,Ruse,0,2020,10,3.0,4.0,3.0,3.0,3.0,3.2,0.4,1.96,0.4,2.8000000000000003,3.6,-3.2,0.4
(60-64),Female,Ruse,0,2020,10,3.0,4.0,3.0,3.0,3.0,3.2,0.4,1.96,0.4,2.8000000000000003,3.6,-3.2,0.4
(40-44),Female,Razgrad,0,2020,10,4.0,5.0,1.0,3.0,3.0,3.2,1.3,1.96,1.1,2.1,4.300000000000001,-3.2,1.1
(45-49),Female,Razgrad,1,2020,10,4.0,5.0,1.0,3.0,3.0,3.2,1.3,1.96,1.1,2.1,4.300000000000001,-2.2,1.1
(50-54),Female,Razgrad,1,2020,10,4.0,5.0,1.0,3.0,3.0,3.2,1.3,1.96,1.1,2.1,4.300000000000001,-2.2,1.1
(55-59),Female,Razgrad,3,2020,10,4.0,5.0,1.0,3.0,3.0,3.2,1.3,1.96,1.1,2.1,4.300000000000001,-0.2,1.1
(60-64),Female,Razgrad,1,2020,10,4.0,5.0,1.0,3.0,3.0,3.2,1.3,1.96,1.1,2.1,4.300000000000001,-2.2,1.1
(40-44),Female,Silistra,0,2020,10,1.0,3.0,2.0,2.0,2.0,2.0,0.6,1.96,0.5,1.5,2.5,-2.0,0.5
(45-49),Female,Silistra,1,2020,10,1.0,3.0,2.0,2.0,2.0,2.0,0.6,1.96,0.5,1.5,2.5,-1.0,0.5
(50-54),Female,Silistra,0,2020,10,1.0,3.0,2.0,2.0,2.0,2.0,0.6,1.96,0.5,1.5,2.5,-2.0,0.5
(55-59),Female,Silistra,0,2020,10,1.0,3.0,2.0,2.0,2.0,2.0,0.6,1.96,0.5,1.5,2.5,-2.0,0.5
(60-64),Female,Silistra,1,2020,10,1.0,3.0,2.0,2.0,2.0,2.0,0.6,1.96,0.5,1.5,2.5,-1.0,0.5
(40-44),Female,Severoiztochen,0,2020,10,12.0,13.0,16.0,21.0,13.0,15.0,3.3,1.96,2.9,12.1,17.9,-15.0,2.9
(45-49),Female,Severoiztochen,3,2020,10,12.0,13.0,16.0,21.0,13.0,15.0,3.3,1.96,2.9,12.1,17.9,-12.0,2.9
(50-54),Female,Severoiztochen,0,2020,10,12.0,13.0,16.0,21.0,13.0,15.0,3.3,1.96,2.9,12.1,17.9,-15.0,2.9
(55-59),Female,Severoiztochen,4,2020,10,12.0,13.0,16.0,21.0,13.0,15.0,3.3,1.96,2.9,12.1,17.9,-11.0,2.9
(60-64),Female,Severoiztochen,7,2020,10,12.0,13.0,16.0,21.0,13.0,15.0,3.3,1.96,2.9,12.1,17.9,-8.0,2.9
(40-44),Female,Varna,0,2020,10,2.0,5.0,2.0,7.0,6.0,4.4,2.1,1.96,1.8,2.6000000000000005,6.2,-4.4,1.8
(45-49),Female,Varna,3,2020,10,2.0,5.0,2.0,7.0,6.0,4.4,2.1,1.96,1.8,2.6000000000000005,6.2,-1.4,1.8
(50-54),Female,Varna,0,2020,10,2.0,5.0,2.0,7.0,6.0,4.4,2.1,1.96,1.8,2.6000000000000005,6.2,-4.4,1.8
(55-59),Female,Varna,1,2020,10,2.0,5.0,2.0,7.0,6.0,4.4,2.1,1.96,1.8,2.6000000000000005,6.2,-3.4,1.8
(60-64),Female,Varna,2,2020,10,2.0,5.0,2.0,7.0,6.0,4.4,2.1,1.96,1.8,2.6000000000000005,6.2,-2.4,1.8
(40-44),Female,Dobrich,0,2020,10,6.0,2.0,6.0,5.0,5.0,4.8,1.5,1.96,1.3,3.5,6.1,-4.8,1.3
(45-49),Female,Dobrich,0,2020,10,6.0,2.0,6.0,5.0,5.0,4.8,1.5,1.96,1.3,3.5,6.1,-4.8,1.3
(50-54),Female,Dobrich,0,2020,10,6.0,2.0,6.0,5.0,5.0,4.8,1.5,1.96,1.3,3.5,6.1,-4.8,1.3
(55-59),Female,Dobrich,3,2020,10,6.0,2.0,6.0,5.0,5.0,4.8,1.5,1.96,1.3,3.5,6.1,-1.8,1.3
(60-64),Female,Dobrich,2,2020,10,6.0,2.0,6.0,5.0,5.0,4.8,1.5,1.96,1.3,3.5,6.1,-2.8,1.3
(40-44),Female,Shumen,0,2020,10,3.0,5.0,7.0,8.0,0.0,4.6,2.9,1.96,2.5,2.0999999999999996,7.1,-4.6,2.5
(45-49),Female,Shumen,0,2020,10,3.0,5.0,7.0,8.0,0.0,4.6,2.9,1.96,2.5,2.0999999999999996,7.1,-4.6,2.5
(50-54),Female,Shumen,0,2020,10,3.0,5.0,7.0,8.0,0.0,4.6,2.9,1.96,2.5,2.0999999999999996,7.1,-4.6,2.5
(55-59),Female,Shumen,0,2020,10,3.0,5.0,7.0,8.0,0.0,4.6,2.9,1.96,2.5,2.0999999999999996,7.1,-4.6,2.5
(60-64),Female,Shumen,2,2020,10,3.0,5.0,7.0,8.0,0.0,4.6,2.9,1.96,2.5,2.0999999999999996,7.1,-2.6,2.5
(40-44),Female,Targovishte,0,2020,10,1.0,1.0,1.0,1.0,2.0,1.2,0.4,1.96,0.4,0.7999999999999999,1.6,-1.2,0.4
(45-49),Female,Targovishte,0,2020,10,1.0,1.0,1.0,1.0,2.0,1.2,0.4,1.96,0.4,0.7999999999999999,1.6,-1.2,0.4
(50-54),Female,Targovishte,0,2020,10,1.0,1.0,1.0,1.0,2.0,1.2,0.4,1.96,0.4,0.7999999999999999,1.6,-1.2,0.4
(55-59),Female,Targovishte,0,2020,10,1.0,1.0,1.0,1.0,2.0,1.2,0.4,1.96,0.4,0.7999999999999999,1.6,-1.2,0.4
(60-64),Female,Targovishte,1,2020,10,1.0,1.0,1.0,1.0,2.0,1.2,0.4,1.96,0.4,0.7999999999999999,1.6,-0.2,0.4
(40-44),Female,Yugoiztochen,2,2020,10,28.0,17.0,26.0,19.0,18.0,21.6,4.5,1.96,3.9,17.700000000000003,25.5,-19.6,3.9
(45-49),Female,Yugoiztochen,3,2020,10,28.0,17.0,26.0,19.0,18.0,21.6,4.5,1.96,3.9,17.700000000000003,25.5,-18.6,3.9
(50-54),Female,Yugoiztochen,2,2020,10,28.0,17.0,26.0,19.0,18.0,21.6,4.5,1.96,3.9,17.700000000000003,25.5,-19.6,3.9
